,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
106,Cull & Pistol,75 9th Ave,"New York City, NY 10011-7006","$$ - $$$, American, Seafood, Gluten Free Options",4.5 of 5 bubbles,965 reviews,"Sat at the bar- was good fun.

Amazing oysters- had the platter for half dozen: was amazing.

The dumplings next but  was average. 

Had the US blanc de Blanc- was average.

Service was good.",+1 646-568-1223,https://www.tripadvisor.com//Restaurant_Review-g60763-d4225718-Reviews-Cull_Pistol-New_York_City_New_York.html,https://www.cullandpistol.com/menus/
107,Murray's Cheese,254 Bleecker St,"New York City, NY 10014-4101","$$ - $$$, Deli, Vegetarian Friendly",4.5 of 5 bubbles,258 reviews,"Murray's Cheeses on Bleecker St NYC is the MECCA for cheese lovers. They have a HUGE variety of cheeses; they even allow taste testing of any cheese you want. But they not only have cheese, they have wine, crackers, and various other items that you...More",+1 212-243-3289,https://www.tripadvisor.com//Restaurant_Review-g60763-d4101382-Reviews-Murray_s_Cheese-New_York_City_New_York.html,http://Www.murrayscheese.com/catering-menu
108,The Cuban Restaurant and Bar,333 Washington St,"Hoboken, NJ 07030-4871","$$ - $$$, Caribbean, Latin, Spanish",4.5 of 5 bubbles,243 reviews,"Let me start by saying the vibe, the food and the wait service were all great.
We recommend everything lol!

That said, the greeting when you walk in was the worst I’ve ever experienced. 
An unfriendly “maitre’d was guarding the gate!
Everything was “against house...More",+1 201-795-9899,https://www.tripadvisor.com//Restaurant_Review-g46515-d2692782-Reviews-The_Cuban_Restaurant_and_Bar-Hoboken_New_Jersey.html,Check The Website for a Menu
109,Benny Tudino's,622 Washington St,"Hoboken, NJ 07030-4908","$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,265 reviews,"One of the biggest slices around, Benny T's has been a staple in Hoboken for years.  Anyone who says pizza makers aren't artists don't appreciate what these guys do to make their signature pie - among others.  They use a forked wood wand to fold...More",+1 201-792-4132,https://www.tripadvisor.com//Restaurant_Review-g46515-d450235-Reviews-Benny_Tudino_s-Hoboken_New_Jersey.html,Check The Website for a Menu
110,Decoy Bar,529 1/2 Hudson St,"New York City, NY 10014-2601","$$ - $$$, Chinese, Asian",4.5 of 5 bubbles,188 reviews,"Des what a legend!!!!

What this lady doesn’t know about cocktails is not work knowing. We sat at the bar she made us feel very comfortable throughout our dinner/drinks and made sure we was OK. The duck was amazing aswell best we have ever eating...More",+1 212-691-9700,https://www.tripadvisor.com//Restaurant_Review-g60763-d6654379-Reviews-Decoy_Bar-New_York_City_New_York.html,http://www.decoynyc.com/menus/
111,Numero 28 Pizzeria,28 Carmine St,"New York City, NY 10014-4437","$$ - $$$, Italian, Pizza, Neapolitan",4.5 of 5 bubbles,"1,076 reviews","Our family has become snobby when it comes to pizza.  Chain stores don’t cut it.  THIS pizza wins an award!  We all loved it.  The sauce and toppings were fresh, and the crust was perfect.  Spectacular!",+1 212-463-9653,https://www.tripadvisor.com//Restaurant_Review-g60763-d1072874-Reviews-Numero_28_Pizzeria-New_York_City_New_York.html,Check The Website for a Menu
112,Jungsik,2 Harrison St,"New York City, NY 10013-2810","$$$$, Asian, Korean, Gluten Free Options",4.5 of 5 bubbles,272 reviews,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. Despite this, the service - of both the food and wine - was...More",+1 212-219-0900,https://www.tripadvisor.com//Restaurant_Review-g60763-d2345886-Reviews-Jungsik-New_York_City_New_York.html,Check The Website for a Menu
113,L'Artusi,228 W 10th St,"New York City, NY 10014-6405","$$$$, Italian, European, Vegetarian Friendly",4.5 of 5 bubbles,516 reviews,This restaurant was my husband's favorite and he can be fussy!  We ordered 4 pasta dishes to share (there were 4 of us) and we loved them all!   Our waitress also recommended a reasonably priced bottle of wine.   It took us forever to get this...More,+1 212-255-5757,https://www.tripadvisor.com//Restaurant_Review-g60763-d1368175-Reviews-L_Artusi-New_York_City_New_York.html,http://lartusi.com/menu/
114,Song E Napule,146 W Houston St,"New York City, NY 10012-2561","$$ - $$$, Italian, Pizza, Mediterranean",4.5 of 5 bubbles,361 reviews,Make sure you have a reservation since the place is tiny. We were vegetarians and really enjoyed the gnocchi and vegetarian pizza. Servers were extremely friendly and amazing vibe,+1 212-533-1242,https://www.tripadvisor.com//Restaurant_Review-g60763-d8319600-Reviews-Song_E_Napule-New_York_City_New_York.html,Check The Website for a Menu
115,San Carlo Osteria Piemonte,90 Thompson St,"New York City, NY 10012-3744","$$ - $$$, Italian, Mediterranean, Vegetarian Friendly",4.5 of 5 bubbles,695 reviews,Was greatly pleased by this discovery in Soho. The staff is great and the food more than incredible plus a good selection of wine makes this a pleasant place to eat.,+1 212-625-1212,https://www.tripadvisor.com//Restaurant_Review-g60763-d10032108-Reviews-San_Carlo_Osteria_Piemonte-New_York_City_New_York.html,http://www.sancarlonyc.com/menu/
116,Del Posto,85 Tenth Avenue,"New York City, NY 10011","$$$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,"1,653 reviews","Fabulous!  Deserves the Michelin Star that it already has.  We had the 5 course dinner on a wintry Sunday night.  All 5 courses were marvelous!  Having said that, the linguine with geoduck was my favorite, followed closely by the veal/tuna/sweetbread appetizer.  Pork agnolotti and branzino...More",+1 212-497-8090,https://www.tripadvisor.com//Restaurant_Review-g60763-d598053-Reviews-Del_Posto-New_York_City_New_York.html,Check The Website for a Menu
117,Perry St,176 Perry St,"New York City, NY 10014-2384","$$$$, Contemporary, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,367 reviews,"Upscale restaurant in an unexpected location. Great value with the restaurant week menu. Everything was very tasty, maybe just a bit too salty. We had the tuna tartar to start and the duck as a main. We also tried the braised lamb shank, which was...More",+1 212-352-1900,https://www.tripadvisor.com//Restaurant_Review-g60763-d590536-Reviews-Perry_St-New_York_City_New_York.html,Check The Website for a Menu
118,The Little Owl,90 Bedford St,"New York City, NY 10014-3764","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,"1,242 reviews","Went here as it popped up in TripAdvisor. Cute little cafe, that holds about 30. Highly recommend reservations (they’re on Open Table) as it is indeed small. Food was amazing and service was excellent. Located in a quaint area of the Village. You won’t be...More",+1 212-741-4695,https://www.tripadvisor.com//Restaurant_Review-g60763-d776994-Reviews-The_Little_Owl-New_York_City_New_York.html,Check The Website for a Menu
119,Cocotte,110 Thompson St,"New York City, NY 10012-3749","$$ - $$$, Spanish, French, European",4.5 of 5 bubbles,290 reviews,"Cocotte was a wonderful find! This small, cozy restaurant provides a very romantic setting and really wonderful food and service. You can eat at the family style seating or at a more private banquette seating. Service was attentive and friendly. The food was simply fantastic,...More",+1 212-965-9100,https://www.tripadvisor.com//Restaurant_Review-g60763-d3756310-Reviews-Cocotte-New_York_City_New_York.html,https://www.cocotte.nyc
120,Loring Place,21 W 8th St,"New York City, NY 10011-9032","$$$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,149 reviews,I’m a tough sell and even though we waited 30 min past our reservation time it was well worth the wait. They even had 2 appetizers at the table when we finally sat. We got 6 appetizers in total and every one was better than...More,+1 212-388-1831,https://www.tripadvisor.com//Restaurant_Review-g60763-d12321742-Reviews-Loring_Place-New_York_City_New_York.html,http://www.loringplacenyc.com/menus/
121,John's of Bleecker Street,278 Bleecker St,"New York City, NY 10014-4105","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,"1,766 reviews","Solid pizza place. If you can find a time to dine at John's of Bleecker Street when there isn't much of a line, you're in for a treat. The pizzas here have a solid base and you add your own toppings (optional). The crust is...More",+1 212-243-1680,https://www.tripadvisor.com//Restaurant_Review-g60763-d492818-Reviews-John_s_of_Bleecker_Street-New_York_City_New_York.html,https://slicelife.com/restaurants/ny/new-york/10014/john-s-of-bleecker-street/menu?utm_source=organic_tripadvisor&utm_medium=ta_menu
122,Blue Ribbon Sushi,119 Sullivan St,"New York City, NY 10012-3680","$$ - $$$, Japanese, Sushi, Asian",4.5 of 5 bubbles,"1,018 reviews",The sushi was absolutely amazing.  Pro tip...you cannot make reservations over the phone so you have to walk in.  It is totally worth the wait.  I recommend that you plan for drinks near by once you put your name on the list.,+1 212-343-0404,https://www.tripadvisor.com//Restaurant_Review-g60763-d457772-Reviews-Blue_Ribbon_Sushi-New_York_City_New_York.html,Check The Website for a Menu
123,Rafele,29 7th Ave S,"New York City, NY 10014-3938","$$ - $$$, Italian, Neapolitan, Campania",4.5 of 5 bubbles,"1,237 reviews","Just perfect on a snowy night in the West Village.  Warm, cozy, lively but still able to have private conversation.  And the food!  Fabulous marinated eggplant on homemade focaccia is complimentary to start.  We shared the fried artichokes, perfectly cooked and delicious.  We both had...More",+1 212-242-1999,https://www.tripadvisor.com//Restaurant_Review-g60763-d3314559-Reviews-Rafele-New_York_City_New_York.html,Check The Website for a Menu
124,Saravana Bhavan,149 Wood Ave,"Edison, NJ 08820-3504","$$ - $$$, Indian, Asian, Vegetarian Friendly",3.5 of 5 bubbles,103 reviews,"Pure vegetarian hotel in Edison
restaurant location is good and parking facilities available
Food quality is average
Variety of food options
Staff service is below par, not customer oriented
Food can be ordered in Uber eats, door dash",+1 732-767-0033,https://www.tripadvisor.com//Restaurant_Review-g46410-d3340291-Reviews-Saravana_Bhavan-Edison_New_Jersey.html,http://www.saravanaabhavan.us/Menu?promos=1
125,Tastee Sub Shop,267 Plainfield Ave,"Edison, NJ 08817-3733","$, American, Fast Food, Deli",4.5 of 5 bubbles,247 reviews,It was the same as 35  years ago  .they are truly  the best subs  I ever had. Sorry  to hear that pat  passed on,+1 732-985-5423,https://www.tripadvisor.com//Restaurant_Review-g46410-d1744375-Reviews-Tastee_Sub_Shop-Edison_New_Jersey.html,http://www.tasteesubshop.com/Menu-Page.html
126,Harold's New York Deli Restaurant,3050 Woodbridge Ave,"Edison, NJ 08837-3460","$$ - $$$, American, Deli, Vegetarian Friendly",4.5 of 5 bubbles,"1,021 reviews",Overpriced overrated bland tasting food.  If you like land food this is the place.  Outdated place to eat. The meats they serve have no flavor. Brisket was a 1 on scale of 10. Onions ordered were a 1 on scale of 10.   I saw a...More,+1 732-661-9100,https://www.tripadvisor.com//Restaurant_Review-g46410-d1381081-Reviews-Harold_s_New_York_Deli_Restaurant-Edison_New_Jersey.html,http://haroldsfamousdeli.com
127,LouCas,9 State Route 27,"Edison, NJ 08820-3966","$$ - $$$, Italian, Seafood, Vegetarian Friendly",4.5 of 5 bubbles,419 reviews,I made resveration  for valentime  day. 4 couples.The food was average.The problem  was  the waiter joe'.He is  impolite  & has  a  nasity  disposition..I talk  to  the  front desk mgr who could care less.When it was time to pay the bill  He CHECK THE bill 3...More,+1 732-549-8580,https://www.tripadvisor.com//Restaurant_Review-g46410-d1407393-Reviews-LouCas-Edison_New_Jersey.html,http://loucasrestaurant.com/menu/lunch.aspx
128,Seasons 52,217 Lafayette Avenue,"Edison, NJ 08837-2454","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,347 reviews,I visited the Edison location with a co-worker for a quick dinner and we were in and out in a little less than an hour. Service was very speedy and consistently good throughout. Only weird thing was somebody besides our server brought our main course...More,+1 732-632-1852,https://www.tripadvisor.com//Restaurant_Review-g46410-d6428814-Reviews-Seasons_52-Edison_New_Jersey.html,Check The Website for a Menu
129,Skylark Diner,17 Wooding Ave,"Edison, NJ 08817-3865","$$ - $$$, American, Diner, Vegetarian Friendly",4 of 5 bubbles,390 reviews,"Stopped in for a quick lunch with my husband. We had a wonderful server, the coffee was bold and my wrap was exactly as I had hoped for. My husband had Greek salad with blackened chicken which he enjoyed. This was a clean, friendly and...More",+1 732-777-7878,https://www.tripadvisor.com//Restaurant_Review-g46410-d1103561-Reviews-Skylark_Diner-Edison_New_Jersey.html,Check The Website for a Menu
130,The Cheesecake Factory,455 Menlo Park,"Edison, NJ 08837","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,359 reviews,"Great menu with a nice variety and cheesecake too.

Even the Pecan Pie is great too.

Good place to hang with friends or bring a date.",+1 732-494-7000,https://www.tripadvisor.com//Restaurant_Review-g46410-d1036282-Reviews-The_Cheesecake_Factory-Edison_New_Jersey.html,https://order.thecheesecakefactory.com/menu/edison-nj
131,Edison Diner,101 US Highway 1,"Edison, NJ 08817-5040","$$ - $$$, American, Diner, Vegetarian Friendly",4 of 5 bubbles,220 reviews,"You name it: Breakfast, Lunch or dinner. The selection it is great.

The appetizers and desserts too

No small wonder NJ is known for its diners.",+1 732-985-3335,https://www.tripadvisor.com//Restaurant_Review-g46410-d2514764-Reviews-Edison_Diner-Edison_New_Jersey.html,Check The Website for a Menu
132,The Greek on Main,419 Main St,"Metuchen, NJ 08840-1836","$$ - $$$, Mediterranean, Greek, Vegetarian Friendly",4.5 of 5 bubbles,85 reviews,"Stopped by and ordered lunch to go, Traditional tomato salad with grilled chicken, Grilled Vegetable Gyro and stuffed grape leaves.  The hostess was very friendly and sat us in the dining area while we waited for our order to be prepared. The wait was not...More",+1 732-515-9457,https://www.tripadvisor.com//Restaurant_Review-g46616-d10496931-Reviews-The_Greek_on_Main-Metuchen_New_Jersey.html,https://thegreekonmain.com/menus/
133,Destination Dogs,101 Paterson St,"New Brunswick, NJ 08901-1912","$, American",4.5 of 5 bubbles,210 reviews,A small restaurant/bar in New Brunswick.  The unique thing about it is their menu.  Different hot dog combinations and sausage sandwiches.  We tried the hot dogs and they were great.  Also saw customers eating different dishes and everything looked very good.  Prices were reasonable.,+1 732-993-1016,https://www.tripadvisor.com//Restaurant_Review-g46664-d3515385-Reviews-Destination_Dogs-New_Brunswick_New_Jersey.html,Check The Website for a Menu
134,Steakhouse 85,85 Church St,"New Brunswick, NJ 08901-1242","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,342 reviews,"Went here a couple of days ago with a friend for a reunion of sorts. Easy to get to with parking available at the parking deck across the street. Nice setup inside, definitely a steakhouse feel.

Started out with Long Island Little Neck Clams and...More",+1 732-247-8585,https://www.tripadvisor.com//Restaurant_Review-g46664-d1804192-Reviews-Steakhouse_85-New_Brunswick_New_Jersey.html,Check The Website for a Menu
135,Edison Family Restaurant,1900 Oak Tree Rd,"Edison, NJ 08820-2128","$, American, Diner, Soups",4.5 of 5 bubbles,97 reviews,My friends and I went and the cashier said don’t ever come back again since you cant pay enough tips. We’re 17 we go here on the regular and always tip $30 to the servers and the one time we didn’t she embarrassed us Infront...More,+1 732-906-2272,https://www.tripadvisor.com//Restaurant_Review-g46410-d4230288-Reviews-Edison_Family_Restaurant-Edison_New_Jersey.html,Check The Website for a Menu
136,Hailey's Harp and Pub,400 Main St,"Metuchen, NJ 08840-1807","$$ - $$$, Irish, Bar, Pub",4 of 5 bubbles,123 reviews,"Hailey's is a great Irish pub, we stopped in for lunch on an early Saturday afternoon,  we were pleasantly surprised to see a band setting up. In edition to a great afternoon of live music, the food was amazing. My prime rib was delicious as...More",+1 732-321-0777,https://www.tripadvisor.com//Restaurant_Review-g46616-d2652726-Reviews-Hailey_s_Harp_and_Pub-Metuchen_New_Jersey.html,Check The Website for a Menu
137,PITHARI TAVERNA,28 Woodbridge Ave,"Highland Park, NJ 08904-3234","$$ - $$$, Mediterranean, Greek, Vegetarian Friendly",4 of 5 bubbles,201 reviews,"This place has great food. We got our food quickly, staff was friendly, atmosphere casual, and we did not feel rushed at all. Plus the water tastes good.",+1 732-572-0616,https://www.tripadvisor.com//Restaurant_Review-g46508-d1051392-Reviews-PITHARI_TAVERNA-Highland_Park_New_Jersey.html,Check The Website for a Menu
138,"Little Sheep Mongolian Hot Pot, Edison",1737 State Route 27,"Edison, NJ 08817-3471","$$ - $$$, Chinese, Asian, Soups",4 of 5 bubbles,70 reviews,"Excellent flavors. Always look at the distribution of reviews. Even the best restaurants will have a few 1-star reviews. In this case, if you don't like the food, it usually means your tastebuds are weak, or you picked the wrong meat.",+1 732-626-5991,https://www.tripadvisor.com//Restaurant_Review-g46410-d7243649-Reviews-Little_Sheep_Mongolian_Hot_Pot_Edison-Edison_New_Jersey.html,Check The Website for a Menu
139,Torino 2 Restaurants,12 New St,"Metuchen, NJ 08840-1814","$$ - $$$, Italian, Vegetarian Friendly",4 of 5 bubbles,103 reviews,Had a fabulous dinner here recently. Everything from the time we sat down to the time we left was practically perfect. No nned to ask for anything whatsoever; the staff including the manager or owner work together for the common good of the diners. No...More,+1 732-549-2500,https://www.tripadvisor.com//Restaurant_Review-g46616-d2238366-Reviews-Torino_2_Restaurants-Metuchen_New_Jersey.html,http://www.torinorestaurants.com/menu.html
140,Metuchen Inn,424 Middlesex Ave,"Metuchen, NJ 08840-1513","$$$$, American, Gluten Free Options",4 of 5 bubbles,149 reviews,"Food is perfect, bar choises are great. Best kept secret of Metuchen - bar menu. it's cheaper but quality is great!",+1 732-494-6444,https://www.tripadvisor.com//Restaurant_Review-g46616-d2400794-Reviews-Metuchen_Inn-Metuchen_New_Jersey.html,Check The Website for a Menu
141,Swagath Gourmet Restaurant,1700 Oak Tree Rd,"Edison, NJ 08820-2854","$$ - $$$, Indian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,69 reviews,"The food quality is very poor lately. More importantly the old man that runs the place is a creepy individual who touched and squeezed my wife's shoulder. First time he did it he spoke to us in Tamil, after that he came around sitting next...More",+1 732-549-2626,https://www.tripadvisor.com//Restaurant_Review-g46410-d3703189-Reviews-Swagath_Gourmet_Restaurant-Edison_New_Jersey.html,http://www.swagathgourmet.com/menu.php
142,Antonio's Brick Oven Pizza,453 Main St,"Metuchen, NJ 08840-1886","$, Pizza, Italian",4.5 of 5 bubbles,53 reviews,"Have eaten here a few times over the years, okay pizza, the kids like it.  Close by, so quick and easy to get.",+1 732-603-0008,https://www.tripadvisor.com//Restaurant_Review-g46616-d1407390-Reviews-Antonio_s_Brick_Oven_Pizza-Metuchen_New_Jersey.html,Check The Website for a Menu
143,Villa Gennaros,75 State Route 27,"Edison, NJ 08820-3953","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,65 reviews,"Ok ok.... I've eaten at many many Italian restaurants... I would put this in my top 3!  Being vegetarian I must admit I am a PIA (pain in the___) .. However, the minestrone soup homemade and delicious the papadelli pasta with vodka sauce...deliziosa!!!

We took...More",+1 732-549-8554,https://www.tripadvisor.com//Restaurant_Review-g46410-d3743041-Reviews-Villa_Gennaros-Edison_New_Jersey.html,https://villagennaros.com/take-out-menu/
144,Havana Central,55 Parsonage Rd,"Edison, NJ 08837-2480","$$ - $$$, Caribbean, Latin, Cuban",4 of 5 bubbles,138 reviews,"We thought we would give it another try, went on Monday, the day after President's day. Place was not crowded at all,  ordered two appetizers, waited quite a bit for those, there was a couple on the other side of us who were there before...More",+1 732-906-5708,https://www.tripadvisor.com//Restaurant_Review-g46410-d8723181-Reviews-Havana_Central-Edison_New_Jersey.html,https://havanacentral.com/menu/
145,Mangia Toscano,422 Main St,"Metuchen, NJ 08840-1834","$$ - $$$, Italian",5 of 5 bubbles,21 reviews,My husband and I recently moved from Florence Italy to NJ recently and finding this restaurant was like finding a corner of home. The chef Alberto is a young italian talent from some of the best restaurants in Florence and NYC. His french wife and...More,+1 732-744-0100,https://www.tripadvisor.com//Restaurant_Review-g46616-d11923378-Reviews-Mangia_Toscano-Metuchen_New_Jersey.html,https://www.mangia-toscano.com/menus/#dinner
146,Fontainbleau Diner Restaurant,1050 Stelton Rd,"Piscataway, NJ 08854-4316","$$ - $$$, American, Diner, Vegetarian Friendly",4 of 5 bubbles,136 reviews,The Fontainbleau Diner is a great NJ diner -- with a diverse menu and breakfast all day long.  The fries and gravy were a nice addition to my veggie omelette.  The coffee was robust and not lame mud-water like some diners.  Always a good meal!,+1 732-981-0090,https://www.tripadvisor.com//Restaurant_Review-g46736-d4797052-Reviews-Fontainbleau_Diner_Restaurant-Piscataway_New_Jersey.html,Check The Website for a Menu
147,Old Man Rafferty's,106 Albany St,"New Brunswick, NJ 08901-2106","$$ - $$$, American, Bar, Vegetarian Friendly",4 of 5 bubbles,498 reviews,"+
Ate here several days in the same week - food and service were consistently excellent.
Big portion sizes!
Friendly waiting & bar staff.
Quick service.
Very reasonable prices.
Honest waiting staff - our waitress chased us out the door to tell us that a...More",+1 732-846-6153,https://www.tripadvisor.com//Restaurant_Review-g46664-d459139-Reviews-Old_Man_Rafferty_s-New_Brunswick_New_Jersey.html,Check The Website for a Menu
148,Le Peep,561 US Highway 1,"Edison, NJ 08817-4400","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,88 reviews,"I was in HS when Le Peep opened in 86. At 18, I never imagined how a 'brunch place' with limited hours daily would succeed (and this was before brunch was even a trend!!).  Here they are in the same location - 33/34 years later...More",+1 732-819-7666,https://www.tripadvisor.com//Restaurant_Review-g46410-d600055-Reviews-Le_Peep-Edison_New_Jersey.html,http://www.lepeepnj.com/menu.html
149,Anthony's Coal Fired Pizza,80 Parsonage Rd,"Edison, NJ 08837-2416","$$ - $$$, Pizza, Italian, Bar",4 of 5 bubbles,77 reviews,Terrible. I have been here multiple times and it used to be good. I will NEVER go back! First of all the wings were not served the same way they used to be served. They used to come in a nice sizzle plate with the...More,+1 732-744-1500,https://www.tripadvisor.com//Restaurant_Review-g46410-d2619758-Reviews-Anthony_s_Coal_Fired_Pizza-Edison_New_Jersey.html,https://acfp.com/menu
150,Hatch 44 Cafe,140 Durham Ave,"Metuchen, NJ 08840-1372","$$ - $$$, American, Cafe, Vegetarian Friendly",4.5 of 5 bubbles,26 reviews,"Cute place, nice atmosphere, service and specially great menu. It was pretty hard to get a table, keep the waiting in mind",+1 732-662-7200,https://www.tripadvisor.com//Restaurant_Review-g46616-d13165109-Reviews-Hatch_44_Cafe-Metuchen_New_Jersey.html,Check The Website for a Menu
151,Veganized,9 Spring St,"New Brunswick, NJ 08901-2107","$$ - $$$, American, Vegan Options, Vegetarian Friendly",4.5 of 5 bubbles,98 reviews,"It's almost a shame with the choice of name as it woudl put off the carniovors in the crowd. This is unfounded as the food is excellent and very tasty. The creative flavours means there is something for everyone, regadless of dietary persuasion. 

The move...More",+1 732-342-7412,https://www.tripadvisor.com//Restaurant_Review-g46664-d8029239-Reviews-Veganized-New_Brunswick_New_Jersey.html,Check The Website for a Menu
152,Pho Anh Dao,775 Rt. 1 South & Old Post Road,"Edison, NJ 08817","$, Asian, Vietnamese, Vegetarian Friendly",4.5 of 5 bubbles,34 reviews,Pho and service was EXCELLENT! I look forward to eating there again and will be sure to take pics. Establishment is located in a shopping centrr so there is plenty of parking.,+1 732-985-7977,https://www.tripadvisor.com//Restaurant_Review-g46410-d4516114-Reviews-Pho_Anh_Dao-Edison_New_Jersey.html,http://phoanhdaoedison.com/menu/
153,Shanghai Dumpling Chinese Restaurant,1581 New Jersey 27,"Edison, NJ 08817","$, Chinese, Asian",4 of 5 bubbles,46 reviews,Very nice juicy dumplings and lions head soup.  Helps if you are experienced in ordering in traditional language.  Very crowded,+1 732-543-1771,https://www.tripadvisor.com//Restaurant_Review-g46410-d7060096-Reviews-Shanghai_Dumpling_Chinese_Restaurant-Edison_New_Jersey.html,http://shanghaidumpling.chinesenj.net/menu-1.html
154,Civile E Tornato,154 Main St,"Metuchen, NJ 08840-2746","$$ - $$$, Italian",4 of 5 bubbles,43 reviews,"They deserve all CAPS. Nice and moist, wonderfully spiced. Meatballs appetizer 3 Sicilian about 3""  very filling,easily shareable. Fish meatballs in a creamy horseradish sauce drew raves all around. Would definitely recommend the marscapone cheesecake as as a light dessert.",+1 732-662-9982,https://www.tripadvisor.com//Restaurant_Review-g46616-d4274365-Reviews-Civile_E_Tornato-Metuchen_New_Jersey.html,Check The Website for a Menu
155,Wavershak's Deli,1800 Route 9,"Toms River, NJ 08755-1284",Not Specified,No review,Undefined Number,No Comments,+1 732-286-3250,https://www.tripadvisor.com//Restaurant_Review-g46870-d14997537-Reviews-Wavershak_s_Deli-Toms_River_New_Jersey.html,Check The Website for a Menu
156,Tardi's Ristorante Italiano,931 Fischer Blvd,"Toms River, NJ 08753-3834","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,818 reviews,"OMG, we found our new favorite Italian restaurant right in Tom's River. (BYOB)  Everything from appetizers to desserts was incredible.  Service was impeccable. Tardi's is in a little strip mall on Fischer Blvd by Planet Fitness and we would never have found it if not...More",+1 732-270-2111,https://www.tripadvisor.com//Restaurant_Review-g46870-d2453788-Reviews-Tardi_s_Ristorante_Italiano-Toms_River_New_Jersey.html,Check The Website for a Menu
157,Xina,3430 Route 37 E,"Toms River, NJ 08753-6257","$$ - $$$, Chinese, Japanese, Seafood",4.5 of 5 bubbles,470 reviews,"Reservations for V Day were unavailable so we opted for takeout.

When I arrived I was one of a dozen people that had the same idea. The front desk was like a production shop with dozens of bags awaiting pickup. Very efficient process.

When I...More",732-279-6327,https://www.tripadvisor.com//Restaurant_Review-g46870-d3254002-Reviews-Xina-Toms_River_New_Jersey.html,http://www.xinarestaurant.com/menu
158,Il Giardinello,1232 Route 166,"Toms River, NJ 08753-2743","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,383 reviews,We were a party of 11 and had reservations.  Although we still had to wait it was well worth it.  Service was impeccable and our waiter Moses was the best.  For the most part we ordered different dinners.  The portions were generous and we brought...More,+1 732-286-9111,https://www.tripadvisor.com//Restaurant_Review-g46870-d1341592-Reviews-Il_Giardinello-Toms_River_New_Jersey.html,Check The Website for a Menu
159,Sand Castle Diner,634 Atlantic City Blvd,"Beachwood, NJ 08722-4047","$$ - $$$, American, Diner, Vegetarian Friendly",4.5 of 5 bubbles,161 reviews,Have been going there for over 20 years and never been disappointed. Their breakfast is delicious and you get specials during weekdays. My husband also loves their pork chops and I love on Sunday their stuffed cabbage,+1 732-244-8881,https://www.tripadvisor.com//Restaurant_Review-g46293-d4706422-Reviews-Sand_Castle_Diner-Beachwood_New_Jersey.html,Check The Website for a Menu
160,Shut Up & Eat,804 Main St,"Toms River, NJ 08753-6520","$, American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,280 reviews,"Had a fabulous eggs benedict waffle lunch w spinach. Great, fresh with some sparky service. Enjoyable place, not to be missed!",+1 732-349-4544,https://www.tripadvisor.com//Restaurant_Review-g46870-d1520600-Reviews-Shut_Up_Eat-Toms_River_New_Jersey.html,Check The Website for a Menu
161,The Serenity Cafe,2008 Route 37 E,"Toms River, NJ 08753-7183","$$ - $$$, American, Contemporary, Vegetarian Friendly",4.5 of 5 bubbles,149 reviews,"This restaurant is a MUST stop for those who love great food.
While every evening is good Tuesday does have a 'special' menu.
Never been disappointed!",732-270-2088,https://www.tripadvisor.com//Restaurant_Review-g46870-d2009762-Reviews-The_Serenity_Cafe-Toms_River_New_Jersey.html,Check The Website for a Menu
162,Velo Eatery,1616 Route 9,"Toms River, NJ 08755-1206","$$ - $$$, Seafood, American, Soups",4.5 of 5 bubbles,117 reviews,"Velo is a great little find. Creative, inventive, and simply delicious food!!
Seafood at it's  finest! 
A little hard to find only open a few days ( fri and sat) in winter..no reservations. They are open  a few more days in summer. see facebook for...More",+1 732-569-6153,https://www.tripadvisor.com//Restaurant_Review-g46870-d7223077-Reviews-Velo_Eatery-Toms_River_New_Jersey.html,Check The Website for a Menu
163,Bahama Breeze,1201 Hooper Ave,"Toms River, NJ 08753-3330","$$ - $$$, Caribbean, Bar, Bahamian",4 of 5 bubbles,190 reviews,"Food was great, but timing of food was so so. Salads took away to get, but when we did get them our food came out right after. I sent it back and the waiter reordered the food. All was good!!",+1 732-736-7012,https://www.tripadvisor.com//Restaurant_Review-g46870-d4739934-Reviews-Bahama_Breeze-Toms_River_New_Jersey.html,Check The Website for a Menu
