,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
160,Anthony's Woodfire Grill,1722 W Marine View Dr,"Everett, WA 98201-2087","$$ - $$$, American, Bar, Seafood",4 of 5 bubbles,302 reviews,"I have had some great meals here, and I've had some ""crowded night, and the kitchen staff is a person short"" meals.  All told the quality of food is a step above.  I particularly like the fish and chips as its not dripping with grease...More",+1 425-258-4000,https://www.tripadvisor.com//Restaurant_Review-g58466-d463634-Reviews-Anthony_s_Woodfire_Grill-Everett_Washington.html,Check The Website for a Menu
161,Lombardi's Italian Restaurant & Wine Bar,1620 W Marine View Dr,"Everett, WA 98201-2099","$$ - $$$, Italian, Vegetarian Friendly, Gluten Free Options",4 of 5 bubbles,310 reviews,"On a long weekend we decided to go to this restaurant to have a relaxing and quiet lunch. The food was good, we had 3 different appetizers the service was a little overwhelmed overall this is a very goood restaurant",+1 425-252-1886,https://www.tripadvisor.com//Restaurant_Review-g58466-d464264-Reviews-Lombardi_s_Italian_Restaurant_Wine_Bar-Everett_Washington.html,https://www.lombardisitalian.com/everett-menu/
162,El Paraiso Mexican Grill,2801 Colby Ave,"Everett, WA 98201-3512","$$ - $$$, Mexican, Southwestern, Vegetarian Friendly",4 of 5 bubbles,168 reviews,"We enjoyed our meals of Chicken Enchiladas Mole and Chicken Flautas. However, the server was very slow to bring drinks and did not check back on us. It was a while before our empty plates were noticed.",+1 425-252-6026,https://www.tripadvisor.com//Restaurant_Review-g58466-d867711-Reviews-El_Paraiso_Mexican_Grill-Everett_Washington.html,Check The Website for a Menu
163,Buck's American Cafe,2901 Hewitt Ave,"Everett, WA 98201-3821","$$ - $$$, American, Bar",4 of 5 bubbles,125 reviews,"I ordered the Pork Osso Buco with mashed Yukon gold potatoes ""as on the menu"" but when my meal arrived it had some damned baked potato instead.  I was in a large groups and it was not easy to correct this.  I ate about a...More",+1 425-258-1351,https://www.tripadvisor.com//Restaurant_Review-g58466-d1601267-Reviews-Buck_s_American_Cafe-Everett_Washington.html,Check The Website for a Menu
164,La Palmera Family Mexican,1629 Center Rd,"Everett, WA 98204-4882","$$ - $$$, Mexican, Vegetarian Friendly",4.5 of 5 bubbles,88 reviews,"My wife loves this place for it's vegetarian options. I've always judged Mexican Restaurants by their refried beans. I don't think La Palmera uses lard in their beans, they seem to lack a certain something, but they are very good.

Since the move they have...More",+1 425-290-8800,https://www.tripadvisor.com//Restaurant_Review-g58466-d902451-Reviews-La_Palmera_Family_Mexican-Everett_Washington.html,Check The Website for a Menu
165,Avocados Mexican Restaurant,10822 Evergreen Way,"Everett, WA 98204-3837","$$ - $$$, Mexican, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,77 reviews,"Our first visit to Avocados, as friends had mentioned they liked the restaurant. Food was good.  Had a coupon to use, but they didn't give full discounted amount of lesser entree.  Service on the slow side.",+1 425-322-5690,https://www.tripadvisor.com//Restaurant_Review-g58466-d3612705-Reviews-Avocados_Mexican_Restaurant-Everett_Washington.html,http://avocadosmexican.com/menu/
166,Kate's Greek & American Deli,2512 Colby Ave,"Everett, WA 98201-6301","$$ - $$$, American, Greek, Deli",4.5 of 5 bubbles,79 reviews,"This place has awesome food and service.  That explains the line to get in on weekend mornings....   Worth the wait tho.     Wish they had their Cornbeef hash on the menu more often,   best I ever had...",+1 425-303-8012,https://www.tripadvisor.com//Restaurant_Review-g58466-d936779-Reviews-Kate_s_Greek_American_Deli-Everett_Washington.html,https://www.katesgreekandamerican.com/menu
167,The New Mexicans,1416 Hewitt Ave,"Everett, WA 98201-3503","$$ - $$$, Mexican, Southwestern, American",4 of 5 bubbles,97 reviews,"My son-in-law eats here frequently and loves it as do my grandchildren. The staff is friendly.

I thought the stack dish I had was tasty.  The beer was good.

They should get different tables.  Ones that could provide flexibility in seating arrangements.",+1 425-512-9705,https://www.tripadvisor.com//Restaurant_Review-g58466-d3419296-Reviews-The_New_Mexicans-Everett_Washington.html,Check The Website for a Menu
168,Chianti Italian Restaurant,1712 Hewitt Ave,"Everett, WA 98201-3521","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,60 reviews,Much finer Italian cuisine than anywhere else locally. Not your old spaghetti house or chain unit pretending to serve Italian food.,+1 425-595-5147,https://www.tripadvisor.com//Restaurant_Review-g58466-d12318295-Reviews-Chianti_Italian_Restaurant-Everett_Washington.html,Check The Website for a Menu
169,Ivar's Seafood and Chowder,1520 41st St,"Everett, WA 98203-2357","$, Seafood, Fast Food, Soups",4.5 of 5 bubbles,59 reviews,"I Thought I'd reviewed this location long ago as we've been coming here for a number of years.  Simply put they get fish and chips right every time.  The baby shrimp and onion rings are great as well.  The service is friendly and prompt, even...More",+1 425-252-9292,https://www.tripadvisor.com//Restaurant_Review-g58466-d6437327-Reviews-Ivar_s_Seafood_and_Chowder-Everett_Washington.html,http://www.ivars.com/locations/acres-of-clams#menus
170,Major League Pizza,2811 Colby Ave,"Everett, WA 98201-3567","$$ - $$$, Pizza, American, Vegetarian Friendly",4.5 of 5 bubbles,48 reviews,They used to be in Arlington.  They make the best pizza.  And I miss eating it......  So sad when you had to move (because of high rent) to downtown Everett.....,+1 425-259-5554,https://www.tripadvisor.com//Restaurant_Review-g58466-d3638201-Reviews-Major_League_Pizza-Everett_Washington.html,Check The Website for a Menu
171,Lanna Thai,7825 Evergreen Way,"Everett, WA 98203-6435","$$ - $$$, Asian, Thai, Vegetarian Friendly",4 of 5 bubbles,84 reviews,"20 years ago we were regulars at this restaurant. It was always busy yet the service was fast and friendly.  Now it has the same decor which really needs an overall, its not crowded and the service is slow. We waited 30 minutes for our...More",+1 425-438-3888,https://www.tripadvisor.com//Restaurant_Review-g58466-d1672393-Reviews-Lanna_Thai-Everett_Washington.html,Check The Website for a Menu
172,Curries in Everett,507 W Casino Rd,"Everett, WA 98204-1606","$$ - $$$, Indian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,28 reviews,"Some of the best Indian food ever. Tandoori chicken, Tikka Masala.........so very good! Great service, clean, would go back again next time in town.",+1 425-265-1200,https://www.tripadvisor.com//Restaurant_Review-g58466-d4855580-Reviews-Curries_in_Everett-Everett_Washington.html,http://curriesineverett.com/index.php/menu/
173,Romio's Pizza & Pasta,2714 Colby Ave,"Everett, WA 98201-3511","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,42 reviews,This review is for delivery service only. Called up and the girl was very friendly on the phone. The pizza showed up very quickly. The delivery person also very nice. Pizza was good but the chocolate moose pie was incredible. Just wish it was a...More,+1 425-252-0800,https://www.tripadvisor.com//Restaurant_Review-g58466-d3706075-Reviews-Romio_s_Pizza_Pasta-Everett_Washington.html,Check The Website for a Menu
174,Capers + Olives,2933 Colby Ave,"Everett, WA 98201-4010","$$ - $$$, Italian, Vegetarian Friendly",4.5 of 5 bubbles,25 reviews,"Everything here is delicious and well-prepared from the olives to the bruschetta to the pasta (amazing--we tried three different ones and they were all scrumptious) to the mains. They have a lovely wine list and good cocktails. We went on a monday evening, called last...More",+1 425-322-5280,https://www.tripadvisor.com//Restaurant_Review-g58466-d14932914-Reviews-Capers_Olives-Everett_Washington.html,Check The Website for a Menu
175,J Ramen and Sushi,1011 Hewitt Ave,"Everett, WA 98201-3976","$$ - $$$, Japanese, Sushi, Asian",4.5 of 5 bubbles,31 reviews,This is a Ramen and Sushi restaurant that has the feel of an izakaya. The vegetable udon were redolent in onions and we're very yummy as was the soft shell crab with a daikon and carrot salad. The Paradise roll was just okay. The fish...More,+1 425-258-5764,https://www.tripadvisor.com//Restaurant_Review-g58466-d10228558-Reviews-J_Ramen_and_Sushi-Everett_Washington.html,Check The Website for a Menu
176,Bluewater Organic Distilling: Bar & Bistro,1205 Craftsman Way,"Everett, WA 98201-1588","$$ - $$$, American, Bar, Cafe",4 of 5 bubbles,50 reviews,"We walked over to the Bluewater Bar + Bistro on a busy Wednesday night.  There was a conference at the Hotel Indigo and it seemed like most of the attendees, including us, had walked over to the Bistro to eat.  In spite of the crowd,...More",+1 425-404-1408,https://www.tripadvisor.com//Restaurant_Review-g58466-d8522596-Reviews-Bluewater_Organic_Distilling_Bar_Bistro-Everett_Washington.html,https://drive.google.com/file/d/1J9Nwtb59AgkrqqWO6T7MwxAZX9JPwhWB/view?usp=sharing
177,Zab Thai,11108 Evergreen Way Ste A,"Everett, WA 98204-3886","$$ - $$$, Asian, Thai, Vegetarian Friendly",4.5 of 5 bubbles,57 reviews,"Ordered the chicken pad Thai with a side of spring rolls. It came with 4 large spring rolls.. too much for one person, clearly. The portion of pad Thai was pretty big, I ate less than half. I’d say the food was okay. I’ve had...More",+1 425-356-3200,https://www.tripadvisor.com//Restaurant_Review-g58466-d798892-Reviews-Zab_Thai-Everett_Washington.html,Check The Website for a Menu
178,vintage Cafe,Hewitt,"Everett, WA","$$ - $$$, American, Bar, Cafe",4 of 5 bubbles,100 reviews,The Vintage Cafe was well worth visit.  The ambience of this old building was off the wall. We really enjoyed the decor... an eclectic mix of eras gone by. The staff were incredibly friendly and gladly answered the questions we asked of them.  Our food...More,+1 425-252-8224,https://www.tripadvisor.com//Restaurant_Review-g58466-d3808581-Reviews-Vintage_Cafe-Everett_Washington.html,http://thevintagecafe.net/Menu/Specialties/
179,The Irishmen,2923 Colby Ave,"Everett, WA 98201-4010","$$ - $$$, Irish, Bar, Pub",4 of 5 bubbles,82 reviews,"Colby Ave. has a lot of restaurants including the Irishmen. My best advice is to consider it a good place for a beer, but skip the food and keep walking to one of the many restaurants on Colby. My wife and I met another couple...More",+1 425-374-5783,https://www.tripadvisor.com//Restaurant_Review-g58466-d952023-Reviews-The_Irishmen-Everett_Washington.html,Check The Website for a Menu
180,Mazatlan Restaurant,1325 Pacific Ave,"Everett, WA 98201-4234","$$ - $$$, Mexican",4 of 5 bubbles,74 reviews,We usually order 2 enchiladas with cheese and onions. I asked for Chipotle sauce on my dish. It made a wonderful and tasty difference! My wife always enjoys the traditional red sauce but I don't think I'll go red again. The only disappointment of the...More,+1 425-404-3084,https://www.tripadvisor.com//Restaurant_Review-g58466-d3536423-Reviews-Mazatlan_Restaurant-Everett_Washington.html,http://www.themazatlanmex.com/barmenu.php
181,Sol Food Bar and Grill,1405 Hewitt Ave,"Everett, WA 98201-3502","$$ - $$$, Latin, Cuban, Central American",4 of 5 bubbles,64 reviews,"Sol is my go-to restaurant in Everett. They are a Pan-Latin/Caribbean place, and make the best Mojitos anywhere outside of Cuban restaurants in Florida. The service can be a bit slow, but not because the servers are lagging--the kitchen is painstakingly careful to make each...More",+1 425-252-6768,https://www.tripadvisor.com//Restaurant_Review-g58466-d5487439-Reviews-Sol_Food_Bar_and_Grill-Everett_Washington.html,http://SolFoodEverett.com
182,The Sisters Restaurant,2804 Grand Ave,"Everett, WA 98201-3430","$$ - $$$, American, Soups, Vegan Options",4.5 of 5 bubbles,53 reviews,"Ate here twice (so far). Sandwiches are very good. Wide variety on the menu, including many vegetarian and gluten free options if you're into that sort of thing. Daily soup specials. Desserts are very tempting and tasty (especially the bread pudding). Prices are reasonable for...More",+1 425-252-0480,https://www.tripadvisor.com//Restaurant_Review-g58466-d952661-Reviews-The_Sisters_Restaurant-Everett_Washington.html,Check The Website for a Menu
183,Wendy's Country Cafe,1915 California St,"Everett, WA 98201-3602","$, American, Cafe, Diner",4.5 of 5 bubbles,36 reviews,"Looking for different places to go with my nephew .The wife and I were in downtown Everett , and decided to check it out ourselves. So glad we did. Nice and quaint, Omelets were very light and fluffy... A very good experience.",+1 425-259-4827,https://www.tripadvisor.com//Restaurant_Review-g58466-d2320796-Reviews-Wendy_s_Country_Cafe-Everett_Washington.html,Check The Website for a Menu
184,Pizzazza,1501 12th St,"Bellingham, WA 98225-7419","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,222 reviews,"Clean and attractive setting. Server friendly. We ordered 3 different pizzas. The crust was thin and tasty. But the rest of the pizzas were not the least bit memorable. Scarce toppings, scarce cheese and scarce tomato sauce.  We would not go back.",+1 360-218-7012,https://www.tripadvisor.com//Restaurant_Review-g58350-d824554-Reviews-Pizzazza-Bellingham_Washington.html,Check The Website for a Menu
185,D'anna's Cafe Italiano,1317 N State St,"Bellingham, WA 98225-4714","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,616 reviews,My wife and I have been going to D’anna’s for over twenty years. When friends or family come to town we take them to D’anna’s. We have never been disappointed  A really good place to eat.,+1 360-714-0188,https://www.tripadvisor.com//Restaurant_Review-g58350-d778663-Reviews-D_anna_s_Cafe_Italiano-Bellingham_Washington.html,Check The Website for a Menu
186,Aslan Brewing Company,1330 N Forest St,"Bellingham, WA 98225-4702","$$ - $$$, American, Bar, Pub",4.5 of 5 bubbles,284 reviews,"I’m not a beer fan in any way. I probably order beer 3-4 times a year at the most. But after sitting at the bar and having the bartender explain the difference between Pilsner and ales and all that goes into making beer, I walked...More",+1 360-778-2088,https://www.tripadvisor.com//Restaurant_Review-g58350-d6720375-Reviews-Aslan_Brewing_Company-Bellingham_Washington.html,https://aslanbrewing.com/the-food
187,LA Fiamma Wood Fire Pizza,200 E Chestnut St,"Bellingham, WA 98225-5003","$$ - $$$, Italian, Pizza, Deli",4.5 of 5 bubbles,391 reviews,Always a favorite.  When we want a quick meal downtown we stop here for pizza and beer.  Great location and the food always brings us back.,+1 360-647-0060,https://www.tripadvisor.com//Restaurant_Review-g58350-d451199-Reviews-LA_Fiamma_Wood_Fire_Pizza-Bellingham_Washington.html,Check The Website for a Menu
188,Mount Bakery Cafe,308 W Champion St Ste C,"Bellingham, WA 98225-4370","$$ - $$$, Cafe, American, International",4.5 of 5 bubbles,253 reviews,"Overall, it is a quaint bakery with the typical bakery options.  Went to get the ""Best cinnamon roll in Bellingham"" but by 1230 on a Saturday they were already had sold out.  ??? (Must be really good?) So we tried the raspberry croissant, which while...More",+1 360-715-2195,https://www.tripadvisor.com//Restaurant_Review-g58350-d778628-Reviews-Mount_Bakery_Cafe-Bellingham_Washington.html,Check The Website for a Menu
189,Anthony's Hearthfire Grill ~ Squalicum Harbor,7 Bellwether Way,"Bellingham, WA 98225-2954","$$ - $$$, American, Bar, Seafood",4.5 of 5 bubbles,701 reviews,"Anthony’s has two restaurants in Bellingham and we initially went to the wrong one (we had a reservation).  The “Hearthfire Grill” overlooks Squalicum Harbor so we are glad we found it (oddly, it is only a few blocks away from the other site)!  The restaurant...More",+1 360-527-3473,https://www.tripadvisor.com//Restaurant_Review-g58350-d1013288-Reviews-Anthony_s_Hearthfire_Grill_Squalicum_Harbor-Bellingham_Washington.html,Check The Website for a Menu
190,Boundary Bay Brewery & Bistro,1107 Railroad Ave,"Bellingham, WA 98225-5007","$$ - $$$, American, Bar, Pub",4 of 5 bubbles,757 reviews,Enjoyed the big screen! Nice Vibe of benches and tables in a great area. Food truck if you so desire. The dark beer was very good. Recommend if in the area.,+1 360-647-5593,https://www.tripadvisor.com//Restaurant_Review-g58350-d540297-Reviews-Boundary_Bay_Brewery_Bistro-Bellingham_Washington.html,http://bbaybrewery.com/restaurant
191,Colophon Cafe,1208 11th St,"Bellingham, WA 98225-7015","$$ - $$$, American, Cafe, Soups",4 of 5 bubbles,287 reviews,Cold Night? Brisk Walk? How about an African Peanut Soup to warm the soul. Accompanied by a homemade Biscuit and a warming cocktail. My mother had a very light Quiche. Highly enjoyed the ambiance and the service. Would reccomend,+1 360-647-0092,https://www.tripadvisor.com//Restaurant_Review-g58350-d518686-Reviews-Colophon_Cafe-Bellingham_Washington.html,Check The Website for a Menu
192,Anthony's at Squalicum Harbor,25 Bellwether Way,"Bellingham, WA 98225-2954","$$ - $$$, American, Seafood, Vegetarian Friendly",4 of 5 bubbles,485 reviews,"Great place for a quick lunch with friends.  Our place to go when we have the out of town visitors, they too enjoy the visit.",+1 360-647-5588,https://www.tripadvisor.com//Restaurant_Review-g58350-d518496-Reviews-Anthony_s_at_Squalicum_Harbor-Bellingham_Washington.html,Check The Website for a Menu
193,Homeskillet,521 Kentucky St,"Bellingham, WA 98225-4214","$$ - $$$, Cafe, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,190 reviews,"We stumbled upon this wonderful restaurant on a day trip to Bellingham and couldn't have been more pleased!  Excellent food, atmosphere and service!",+1 360-676-6218,https://www.tripadvisor.com//Restaurant_Review-g58350-d3488497-Reviews-Homeskillet-Bellingham_Washington.html,http://www.homeskilletinsunnyland.com/menu.html
194,The Birch Door,4192 Meridian St,"Bellingham, WA 98226-5515","$$ - $$$, American, Cafe, Vegetarian Friendly",4.5 of 5 bubbles,127 reviews,This is one of our favorite places to have a nice leisurely breakfast.  The portions are plentiful and most times we skip having lunch.  Highly recommend.,+1 360-306-8598,https://www.tripadvisor.com//Restaurant_Review-g58350-d12678068-Reviews-The_Birch_Door-Bellingham_Washington.html,http://www.birchdoorcafe.com/menus/BDC_Menu_11-07-18.pdf
195,Fat Pie Pizza,1015 Harris Ave,"Bellingham, WA 98225-7034","$$ - $$$, Italian, American, Pizza",4.5 of 5 bubbles,219 reviews,"Even a boy from Brooklyn NY enjoyed the pizza. Nice soft pizza with good cheese, mushrooms and pepperoni. Also had a bison burger which was cooked the way we like it. 

And the staff was extremely helpful and attentive. We carried out and everything was...More",+1 360-366-8090,https://www.tripadvisor.com//Restaurant_Review-g58350-d5421902-Reviews-Fat_Pie_Pizza-Bellingham_Washington.html,http://www.fatpiepizza.com/menu
196,Keenan's at the Pier,804 10th St,"Bellingham, WA 98225-6245","$$ - $$$, American, Seafood, International",4 of 5 bubbles,322 reviews,"We used to like Keenans. But over the last few visits, something’s changed. Smaller portions, oversalted food and snippy wait people. We asked for a side order of fries, and they were $10.  A bowl of seafood chowder was not much bigger than a cup,...More",+1 360-392-5510,https://www.tripadvisor.com//Restaurant_Review-g58350-d3929004-Reviews-Keenan_s_at_the_Pier-Bellingham_Washington.html,Check The Website for a Menu
197,Mi Mexico,241 Telegraph Rd,"Bellingham, WA 98226-8081","$$ - $$$, Mexican, Southwestern, Latin",4 of 5 bubbles,309 reviews,Delicious food and quick friendly service. Can’t wait to come back next time I drive through Bellingham:),+1 360-647-0073,https://www.tripadvisor.com//Restaurant_Review-g58350-d818837-Reviews-Mi_Mexico-Bellingham_Washington.html,Check The Website for a Menu
198,Skylarks Hidden Cafe,1308 11th St Ste B,"Bellingham, WA 98225-7081","$$ - $$$, American, Bar, Cafe",4 of 5 bubbles,483 reviews,"Excellent clam chowder, great atmosphere, great service, highly recommended!  The brazilian cheese puffs were incredible!",+1 360-715-3642,https://www.tripadvisor.com//Restaurant_Review-g58350-d451198-Reviews-Skylarks_Hidden_Cafe-Bellingham_Washington.html,Check The Website for a Menu
199,Mambo Italiano Cafe,1303 12th St,"Bellingham, WA 98225-7105","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4 of 5 bubbles,251 reviews,Excellent homemade Italian food at a good price point.  Great service.  Busy restaurant.  Best food we had during our trip.,+1 360-734-7677,https://www.tripadvisor.com//Restaurant_Review-g58350-d2258272-Reviews-Mambo_Italiano_Cafe-Bellingham_Washington.html,Check The Website for a Menu
200,The Fork at Agate Bay,2530 Northshore Rd,"Bellingham, WA 98226-9477","$$ - $$$, American, Contemporary, Vegetarian Friendly",4.5 of 5 bubbles,149 reviews,A beautiful place to celebrate my wife’s birthday.  Good food and great service.  Would definitely go back time and time again.  Check it out.,+1 360-733-1126,https://www.tripadvisor.com//Restaurant_Review-g58350-d1883961-Reviews-The_Fork_at_Agate_Bay-Bellingham_Washington.html,Check The Website for a Menu
201,Rock and Rye Oyster House,1145 N State St,"Bellingham, WA 98225-5013","$$ - $$$, American, Bar, Seafood",4.5 of 5 bubbles,140 reviews,"Friends and I went there a lot in the early years. It evolved to overpriced, mediocre (but OK) cuisine, and stuffy staff. Now never. Every now and again we stop in to see if it has changed. Nope. As of Feb 15, 2020 still overpriced...More",+1 360-746-6130,https://www.tripadvisor.com//Restaurant_Review-g58350-d6873167-Reviews-Rock_and_Rye_Oyster_House-Bellingham_Washington.html,http://www.rockrye.com/menu
202,The Filling Station,1138 Finnegan Way,"Bellingham, WA 98225-6622","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,112 reviews,We stopped at the Filling Station in Fairhaven on the way to Canada and on the way back a couple days later. It is that good. You may think it is just a burger joint but their food is so delicious I hesitate to call...More,+1 360-715-1839,https://www.tripadvisor.com//Restaurant_Review-g58350-d9782344-Reviews-The_Filling_Station-Bellingham_Washington.html,https://fillingstationnw.com/menus/
203,Olive Garden,4276 Guide Meridian,"Bellingham, WA 98226-6476","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,410 reviews,Olive Garden is one of our favourite places for lunch when we go to the Bellingham area. It is one of those places that is always reliable for good food at reasonable prices. Love the chicken Alfredo pizza bowl with Zappa toscana and the bread...More,+1 360-733-6286,https://www.tripadvisor.com//Restaurant_Review-g58350-d463538-Reviews-Olive_Garden-Bellingham_Washington.html,Check The Website for a Menu
204,Chuckanut Brewery & Kitchen,601 W Holly St,"Bellingham, WA 98225-3920","$$ - $$$, American, Bar, Pub",4 of 5 bubbles,182 reviews,We enjoyed the Salmon Dip immensely! We were able to get some local ciders to drink as we do not drink beer very often. The service was impeccable. Truly enjoyed our server and the time we were able to sit. Not a usual brewery you...More,+1 360-752-3377,https://www.tripadvisor.com//Restaurant_Review-g58350-d1498295-Reviews-Chuckanut_Brewery_Kitchen-Bellingham_Washington.html,Check The Website for a Menu
205,Mykonos Greek Restaurant,1650 W Bakerview Rd,"Bellingham, WA 98226-9181","$$ - $$$, Mediterranean, Greek, Vegetarian Friendly",4 of 5 bubbles,163 reviews,"Three of us had a delicious Sunday lunch. Our Server, Lily M., was perfect.  All three dinners were served hot and tasty. We love this restaurant and visit regularly.",+1 360-715-3071,https://www.tripadvisor.com//Restaurant_Review-g58350-d818224-Reviews-Mykonos_Greek_Restaurant-Bellingham_Washington.html,Check The Website for a Menu
206,Harris Avenue Cafe and Tony's Coffee,1101 Harris Ave,"Bellingham, WA 98225-7062","$$ - $$$, Cafe, American, Vegetarian Friendly",4 of 5 bubbles,160 reviews,"Pleasantly surprised to come across this gem. The place was packed and we grabbed a coffee and waited 30 minutes for a table. Luckily we could sit and wait and peruse the menu so that when we sat down , we ordered. The food arrived...More",+1 360-738-0802,https://www.tripadvisor.com//Restaurant_Review-g58350-d3581424-Reviews-Harris_Avenue_Cafe_and_Tony_s_Coffee-Bellingham_Washington.html,Check The Website for a Menu
207,Kulshan Brewing Company,2238 James St,"Bellingham, WA 98225-4142","$, American",4.5 of 5 bubbles,79 reviews,"On our Canadian Thanksgiving weekend we stayed in Bellingham with relatives. As they were not familiar with the area we had the pleasure of introducing them to places that we love. Of course Kulshan Brewing Company was a Must See! As ever, the beers offered...More",Not Available,https://www.tripadvisor.com//Restaurant_Review-g58350-d3567991-Reviews-Kulshan_Brewing_Company-Bellingham_Washington.html,Check The Website for a Menu
208,Chuckanut Lobby Bar,4040 Northwest Ave,"Bellingham, WA 98226-9071","$$ - $$$, Bar, American",4.5 of 5 bubbles,70 reviews,Great place to grab a night cap or a nice snack. It's right next to the entrance and has a very friendly and welcoming vibe.,+1 360-714-9600,https://www.tripadvisor.com//Restaurant_Review-g58350-d5993550-Reviews-Chuckanut_Lobby_Bar-Bellingham_Washington.html,Check The Website for a Menu
209,Lighthouse Bar & Grill,1 Bellwether Way,"Bellingham, WA 98225-2954","$$ - $$$, American, Seafood, Steakhouse",4 of 5 bubbles,178 reviews,"We had a great dinner here the night of the Super Bowl.  The service was good, the food was tasty, and the venue was very nice.  They are having a lobster based food for February, which was interesting.  Their dessert menu was good too!  We...More",+1 360-392-3200,https://www.tripadvisor.com//Restaurant_Review-g58350-d3166505-Reviews-Lighthouse_Bar_Grill-Bellingham_Washington.html,Check The Website for a Menu
210,Old Town Cafe,316 W Holly St,"Bellingham, WA 98225-4314","$$ - $$$, American, Cafe, Healthy",4 of 5 bubbles,140 reviews,All four of us had delicious breakfasts. Great mushroom tahini biscuits and gravy. Wonderful strawberry freezer jam at the table. I had the London Fog to drink. Yum!,+1 360-671-4431,https://www.tripadvisor.com//Restaurant_Review-g58350-d464060-Reviews-Old_Town_Cafe-Bellingham_Washington.html,Check The Website for a Menu
211,Asian 1,4285 Meridian St,"Bellingham, WA 98226-6484","$$ - $$$, Asian, Thai, Sushi",4 of 5 bubbles,138 reviews,"Was take to this local asian restaurant.  It is a perfect small ""hole"" in the wall location.  I had the Mongolian Beef and I was amazing.  Only con was they gave me spice level options of 0-5.  I said five three times, while waitress corrected...More",+1 360-752-2422,https://www.tripadvisor.com//Restaurant_Review-g58350-d2453355-Reviews-Asian_1-Bellingham_Washington.html,Check The Website for a Menu
212,Wander Brewing,1807 Dean Ave,"Bellingham, WA 98225-4616","$, Pub",4.5 of 5 bubbles,64 reviews,"One of our favorite spots in Bellingham. Staff is friendly, beer selection is great, and you can sit inside or out. Frequented by well-behaved pets and their humans, and usually there’s a food truck on site. Highly recommend!",+1 360-647-6152,https://www.tripadvisor.com//Restaurant_Review-g58350-d7216195-Reviews-Wander_Brewing-Bellingham_Washington.html,Check The Website for a Menu
213,Gandolfo's New York Deli,107 E Stuart Rd,"Bellingham, WA 98226-8196","$$ - $$$, American, Deli, Vegetarian Friendly",4.5 of 5 bubbles,80 reviews,This is a fabulous lunch spot and the sandwiches so awesome we came here 2 days in a row while visiting from Michigan. I talked my daughters ( who said they don’t like reubens) to taste mine and today all three of us are eating...More,+1 360-922-0431,https://www.tripadvisor.com//Restaurant_Review-g58350-d2555861-Reviews-Gandolfo_s_New_York_Deli-Bellingham_Washington.html,https://gandolfosdeli.com/store-menus/
214,Duke's Chowder House Kent Station,240 W Kent Station St,"Kent, WA 98032-4505","$$ - $$$, Bar, Seafood, Soups",4 of 5 bubbles,281 reviews,"Okay, Dukes has been a go to in downtown Kent for a bit.  Yes it’s overpriced but it’s typically good food and service.  Not so yesterday.  Took my wife to lunch for Valentines Day.  Orders clam appetizer and a couple entrees.  The place was NOT...More",+1 253-850-6333,https://www.tripadvisor.com//Restaurant_Review-g58537-d822852-Reviews-Duke_s_Chowder_House_Kent_Station-Kent_Washington.html,Check The Website for a Menu
215,Paolo's Italian Restaurant,23810 104th Ave SE,"Kent, WA 98031-3314","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,148 reviews,We love Paolo's. The food was delicious abd the service was professional! Definitely would recommend to friends and family.,+1 253-850-2233,https://www.tripadvisor.com//Restaurant_Review-g58537-d464096-Reviews-Paolo_s_Italian_Restaurant-Kent_Washington.html,Check The Website for a Menu
216,Wild Wheat Bakery Cafe & Restaurant,202 1st Ave S,"Kent, WA 98032-5954","$$ - $$$, American, Cafe, Vegetarian Friendly",4 of 5 bubbles,242 reviews,"We ended up going here because Sun Break Cafe was packed. Glad we did give this place a try. I really enjoyed their egg Benedict, the egg was cooked perfectly and their homemade raspberry jam condiments was very delicious. My sister ordered the smoked salmon,...More",+1 253-856-8919,https://www.tripadvisor.com//Restaurant_Review-g58537-d464110-Reviews-Wild_Wheat_Bakery_Cafe_Restaurant-Kent_Washington.html,Check The Website for a Menu
217,Mitzel's American Kitchen,22330 84th Ave S,"Kent, WA 98032-1522","$$ - $$$, American, Vegetarian Friendly, Gluten Free Options",4 of 5 bubbles,275 reviews,Very expensive and added a 20% Gratuity automatically to the bill. 2 cups of coffee sausage and eggs and a piece of pie came to $33.61. The food tasted good and the server was very pleasant but in my opinion this is extremely high for...More,+1 253-395-3635,https://www.tripadvisor.com//Restaurant_Review-g58537-d432514-Reviews-Mitzel_s_American_Kitchen-Kent_Washington.html,Check The Website for a Menu
