,Name,Street Address,Location,Type,Reviews,No of Reviews,Contact Number,Trip_advisor Url,Menu
152,South,2005 11th St,"Sacramento, CA 95818-1317","$$ - $$$, American",4.5 of 5 bubbles,106 reviews,+1 916-382-9722,https://www.tripadvisor.com//Restaurant_Review-g32999-d7388490-Reviews-South-Sacramento_California.html,Check The Website for a Menu
153,Rio City Cafe,1110 Front St,"Sacramento, CA 95814-3232","$$ - $$$, American, Bar, Vegetarian Friendly",4 of 5 bubbles,615 reviews,+1 916-442-8226,https://www.tripadvisor.com//Restaurant_Review-g32999-d339780-Reviews-Rio_City_Cafe-Sacramento_California.html,Check The Website for a Menu
154,Pizza Rock,1020 K St,"Sacramento, CA 95814-3804","$$ - $$$, Pizza, Italian, Vegetarian Friendly",4 of 5 bubbles,213 reviews,+1 916-737-5777,https://www.tripadvisor.com//Restaurant_Review-g32999-d2214247-Reviews-Pizza_Rock-Sacramento_California.html,Check The Website for a Menu
155,The Porch Restaurant and Bar,1815 K St,"Sacramento, CA 95811-4114","$$ - $$$, American, Vegetarian Friendly",4 of 5 bubbles,198 reviews,+1 916-444-2423,https://www.tripadvisor.com//Restaurant_Review-g32999-d2484429-Reviews-The_Porch_Restaurant_and_Bar-Sacramento_California.html,Check The Website for a Menu
156,Belotti Ristorante E Bottega,5403 College Ave,"Oakland, CA 94618-1502","$$ - $$$, Italian, European, Vegetarian Friendly",4.5 of 5 bubbles,149 reviews,+1 510-788-7890,https://www.tripadvisor.com//Restaurant_Review-g32810-d10067472-Reviews-Belotti_Ristorante_E_Bottega-Oakland_California.html,Check The Website for a Menu
157,Zachary's Chicago Pizza,5801 College Ave,"Oakland, CA 94618-1602","$$ - $$$, Pizza, Italian, Vegetarian Friendly",4.5 of 5 bubbles,722 reviews,+1 510-655-6385,https://www.tripadvisor.com//Restaurant_Review-g32810-d371483-Reviews-Zachary_s_Chicago_Pizza-Oakland_California.html,Check The Website for a Menu
158,Wood Tavern,6317 College Ave,"Oakland, CA 94618-1331","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,462 reviews,+1 510-654-6607,https://www.tripadvisor.com//Restaurant_Review-g32810-d856760-Reviews-Wood_Tavern-Oakland_California.html,Check The Website for a Menu
159,Burma Superstar,4721 Telegraph Ave,"Oakland, CA 94609-2023","$$ - $$$, Asian, Burmese, Vegetarian Friendly",4.5 of 5 bubbles,401 reviews,+1 510-652-2900,https://www.tripadvisor.com//Restaurant_Review-g32810-d1544869-Reviews-Burma_Superstar-Oakland_California.html,Check The Website for a Menu
160,Yoshi's,510 Embarcadero W,"Oakland, CA 94607-3506","$$ - $$$, Japanese, Sushi, Asian",4.5 of 5 bubbles,293 reviews,+1 510-238-9200,https://www.tripadvisor.com//Restaurant_Review-g32810-d508407-Reviews-Yoshi_s-Oakland_California.html,Check The Website for a Menu
161,Fat Lady,201 Washington St,"Oakland, CA 94607-3808","$$ - $$$, American, International, Vegetarian Friendly",4.5 of 5 bubbles,200 reviews,+1 510-465-4996,https://www.tripadvisor.com//Restaurant_Review-g32810-d371547-Reviews-Fat_Lady-Oakland_California.html,Check The Website for a Menu
162,Mua,2442A Webster St,"Oakland, CA 94612-3118","$$ - $$$, American, Bar, Contemporary",4.5 of 5 bubbles,273 reviews,+1 510-238-1100,https://www.tripadvisor.com//Restaurant_Review-g32810-d1988126-Reviews-Mua-Oakland_California.html,Check The Website for a Menu
163,Homeroom,400 40th St,"Oakland, CA 94609-2509","$$ - $$$, American, Asian, Vegetarian Friendly",4.5 of 5 bubbles,195 reviews,+1 510-597-0400,https://www.tripadvisor.com//Restaurant_Review-g32810-d2315798-Reviews-Homeroom-Oakland_California.html,Check The Website for a Menu
164,Scott's Seafood Restaurant,2 Broadway,"Oakland, CA 94607-3748","$$$$, American, Seafood, Vegetarian Friendly",4 of 5 bubbles,574 reviews,+1 510-444-3456,https://www.tripadvisor.com//Restaurant_Review-g32810-d485445-Reviews-Scott_s_Seafood_Restaurant-Oakland_California.html,Check The Website for a Menu
165,ButtercuP,229 Broadway,"Oakland, CA 94607-3802","$$ - $$$, American, Diner, Vegetarian Friendly",4 of 5 bubbles,211 reviews,+1 510-444-2976,https://www.tripadvisor.com//Restaurant_Review-g32810-d578675-Reviews-ButtercuP-Oakland_California.html,Check The Website for a Menu
166,Drake's Dealership,2325 Broadway,"Oakland, CA 94612-2414","$$ - $$$, American, Bar, Pizza",4.5 of 5 bubbles,125 reviews,+1 510-833-6649,https://www.tripadvisor.com//Restaurant_Review-g32810-d8602723-Reviews-Drake_s_Dealership-Oakland_California.html,Check The Website for a Menu
167,Townhouse Bar & Grill,5862 Doyle St,"Emeryville, CA 94608-2530","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,209 reviews,+1 510-652-6151,https://www.tripadvisor.com//Restaurant_Review-g32352-d466517-Reviews-Townhouse_Bar_Grill-Emeryville_California.html,Check The Website for a Menu
168,Quinn's Lighthouse Restaurant and Pub,1951 Embarcadero,"Oakland, CA 94606-5212","$$ - $$$, American, Bar, Seafood",4 of 5 bubbles,397 reviews,+1 510-536-2050,https://www.tripadvisor.com//Restaurant_Review-g32810-d523015-Reviews-Quinn_s_Lighthouse_Restaurant_and_Pub-Oakland_California.html,Check The Website for a Menu
169,Shan Dong Restaurant,328 10th St Ste 101,"Oakland, CA 94607-4214","$, Chinese, Asian, Vegetarian Friendly",4.5 of 5 bubbles,161 reviews,+1 510-839-2299,https://www.tripadvisor.com//Restaurant_Review-g32810-d345003-Reviews-Shan_Dong_Restaurant-Oakland_California.html,Check The Website for a Menu
170,Cholita Linda,4923 Telegraph Ave,"Oakland, CA 94609-2011","$, Mexican, Central American, Vegetarian Friendly",4.5 of 5 bubbles,86 reviews,+1 510-594-7610,https://www.tripadvisor.com//Restaurant_Review-g32810-d7047606-Reviews-Cholita_Linda-Oakland_California.html,http://cholitalinda.com/#menu
171,Forge Pizza Oakland,66 Franklin St,"Oakland, CA 94607-3728","$$ - $$$, American, Bar, Pizza",4 of 5 bubbles,181 reviews,+1 510-268-3200,https://www.tripadvisor.com//Restaurant_Review-g32810-d3842189-Reviews-Forge_Pizza_Oakland-Oakland_California.html,Check The Website for a Menu
172,Shakewell,3407 Lakeshore Ave,"Oakland, CA 94610-2307","$$ - $$$, Mediterranean, Spanish, Vegetarian Friendly",4.5 of 5 bubbles,113 reviews,+1 510-251-0329,https://www.tripadvisor.com//Restaurant_Review-g32810-d6857706-Reviews-Shakewell-Oakland_California.html,Check The Website for a Menu
173,Zachary's Chicago Pizza,1853 Solano Ave,"Berkeley, CA 94707-2306","$$ - $$$, Pizza, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,413 reviews,+1 510-525-5950,https://www.tripadvisor.com//Restaurant_Review-g32066-d367229-Reviews-Zachary_s_Chicago_Pizza-Berkeley_California.html,Check The Website for a Menu
174,Bellanico Restaurant and Wine Bar,4238 Park Blvd,"Oakland, CA 94602-1312","$$ - $$$, Italian, Wine Bar, Vegetarian Friendly",4.5 of 5 bubbles,138 reviews,+1 510-336-1180,https://www.tripadvisor.com//Restaurant_Review-g32810-d1988010-Reviews-Bellanico_Restaurant_and_Wine_Bar-Oakland_California.html,Check The Website for a Menu
175,Burma Superstar,1345 Park St,"Alameda, CA 94501-4533","$$ - $$$, Asian, Burmese, Vegetarian Friendly",4.5 of 5 bubbles,314 reviews,+1 510-522-6200,https://www.tripadvisor.com//Restaurant_Review-g29073-d1061600-Reviews-Burma_Superstar-Alameda_California.html,Check The Website for a Menu
176,Trabocco,2213 S Shore Ctr,"Alameda, CA 94501-8073","$$ - $$$, Italian, Mediterranean, Vegetarian Friendly",4.5 of 5 bubbles,335 reviews,510-521-1152,https://www.tripadvisor.com//Restaurant_Review-g29073-d5452256-Reviews-Trabocco-Alameda_California.html,Check The Website for a Menu
177,East Ocean Seafood Restaurant,1713 Webster St,"Alameda, CA 94501-2135","$$ - $$$, Chinese, Asian, Seafood",4.5 of 5 bubbles,169 reviews,+1 510-865-3381,https://www.tripadvisor.com//Restaurant_Review-g29073-d538366-Reviews-East_Ocean_Seafood_Restaurant-Alameda_California.html,Check The Website for a Menu
178,Hopscotch,1915 San Pablo Ave,"Oakland, CA 94612-1305","$$ - $$$, American, Vegetarian Friendly",4.5 of 5 bubbles,105 reviews,510-788-6217,https://www.tripadvisor.com//Restaurant_Review-g32810-d3343981-Reviews-Hopscotch-Oakland_California.html,Check The Website for a Menu
179,Speisekammer,2424 Lincoln Ave,"Alameda, CA 94501-2915","$$ - $$$, German, Bar, European",4.5 of 5 bubbles,241 reviews,+1 510-522-1300,https://www.tripadvisor.com//Restaurant_Review-g29073-d344705-Reviews-Speisekammer-Alameda_California.html,Check The Website for a Menu
180,Oliveto Cafe and Restaurant,5655 College Ave,"Oakland, CA 94618-1583","$$$$, Italian, Contemporary, Vegetarian Friendly",4 of 5 bubbles,272 reviews,+1 510-547-5356,https://www.tripadvisor.com//Restaurant_Review-g32810-d371614-Reviews-Oliveto_Cafe_and_Restaurant-Oakland_California.html,Check The Website for a Menu
181,A Cote Restaurant,5478 College Ave,"Oakland, CA 94618-1552","$$ - $$$, Vegetarian Friendly, Gluten Free Options",4 of 5 bubbles,164 reviews,+1 510-655-6469,https://www.tripadvisor.com//Restaurant_Review-g32810-d371504-Reviews-A_Cote_Restaurant-Oakland_California.html,Check The Website for a Menu
182,Southie,6311 College Ave,"Oakland, CA 94618-1331","$$ - $$$, American, Vegetarian Friendly",4.5 of 5 bubbles,53 reviews,+1 510-654-0100,https://www.tripadvisor.com//Restaurant_Review-g32810-d4231506-Reviews-Southie-Oakland_California.html,Check The Website for a Menu
183,Cafe Jolie,1500 Webster St,"Alameda, CA 94501-3322","$$ - $$$, Cafe, French, American",4.5 of 5 bubbles,109 reviews,+1 510-523-4500,https://www.tripadvisor.com//Restaurant_Review-g29073-d3315170-Reviews-Cafe_Jolie-Alameda_California.html,Check The Website for a Menu
184,Champa Garden,2102 8th Ave,"Oakland, CA 94606-2008","$$ - $$$, Asian, Thai, Vegetarian Friendly",4.5 of 5 bubbles,70 reviews,+1 510-238-8819,https://www.tripadvisor.com//Restaurant_Review-g32810-d614189-Reviews-Champa_Garden-Oakland_California.html,Check The Website for a Menu
185,Asena Restaurant,2508 Santa Clara Ave,"Alameda, CA 94501-4634","$$ - $$$, Mediterranean, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,142 reviews,+1 510-521-4100,https://www.tripadvisor.com//Restaurant_Review-g29073-d538374-Reviews-Asena_Restaurant-Alameda_California.html,Check The Website for a Menu
186,Trio Restaurant,707 N Palm Canyon Dr,"Palm Springs, Greater Palm Springs, CA 92262-5507","$$ - $$$, American, Bar, Contemporary",4.5 of 5 bubbles,"3,785 reviews",+1 760-864-8746,https://www.tripadvisor.com//Restaurant_Review-g32847-d1575363-Reviews-Trio_Restaurant-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu
187,EIGHT4NINE Restaurant & Lounge,849 N Palm Canyon Dr,"Palm Springs, Greater Palm Springs, CA 92262-4423","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,843 reviews,+1 760-325-8490,https://www.tripadvisor.com//Restaurant_Review-g32847-d8372615-Reviews-EIGHT4NINE_Restaurant_Lounge-Palm_Springs_Greater_Palm_Springs_California.html,http://eight4nine.com/
188,Purple Room Supper Club,1900 E Palm Canyon Dr,"Palm Springs, Greater Palm Springs, CA 92264-1621","$$ - $$$, American, Bar, Contemporary",4.5 of 5 bubbles,"1,207 reviews",+1 760-322-4422,https://www.tripadvisor.com//Restaurant_Review-g32847-d4877452-Reviews-Purple_Room_Supper_Club-Palm_Springs_Greater_Palm_Springs_California.html,https://www.purpleroompalmsprings.com/dining
189,Le Vallauris,385 W Tahquitz Canyon Way,"Palm Springs, Greater Palm Springs, CA 92262-5647","$$$$, French, International, European",4.5 of 5 bubbles,997 reviews,+1 760-325-5059,https://www.tripadvisor.com//Restaurant_Review-g32847-d378387-Reviews-Le_Vallauris-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu
190,Miro's Restaurant,1555 S Palm Canyon Dr Ste H101,"Palm Springs, Greater Palm Springs, CA 92264-8304","$$$$, Mediterranean, European, Central European",4.5 of 5 bubbles,858 reviews,+1 760-323-5199,https://www.tripadvisor.com//Restaurant_Review-g32847-d448086-Reviews-Miro_s_Restaurant-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu
191,Billy Q's,36901 Cook St Ste 7,"Palm Desert, Greater Palm Springs, CA 92211-6112","$, Italian, American, Pizza",4.5 of 5 bubbles,204 reviews,+1 760-404-0681,https://www.tripadvisor.com//Restaurant_Review-g32846-d4837131-Reviews-Billy_Q_s-Palm_Desert_Greater_Palm_Springs_California.html,Check The Website for a Menu
192,Tony's Burgers,35903 Date Palm Dr,"Cathedral City, Greater Palm Springs, CA 92234-6658","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,230 reviews,+1 760-832-7794,https://www.tripadvisor.com//Restaurant_Review-g32186-d8352942-Reviews-Tony_s_Burgers-Cathedral_City_Greater_Palm_Springs_California.html,https://tonysburgers.com/menu/hamburgers/
193,Arnold Palmer's Restaurant,78164 Avenue 52,"La Quinta, Greater Palm Springs, CA 92253-8909","$$ - $$$, Contemporary, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,816 reviews,+1 760-771-4653,https://www.tripadvisor.com//Restaurant_Review-g32584-d494036-Reviews-Arnold_Palmer_s_Restaurant-La_Quinta_Greater_Palm_Springs_California.html,http://www.arnoldpalmersrestaurant.com/menu_uploads/restaurant/dinner-menu/Dinner_Menu.pdf?1545424736
194,EIGHT4NINE Restaurant & Lounge,849 N Palm Canyon Dr,"Palm Springs, Greater Palm Springs, CA 92262-4423","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,843 reviews,+1 760-325-8490,https://www.tripadvisor.com//Restaurant_Review-g32847-d8372615-Reviews-EIGHT4NINE_Restaurant_Lounge-Palm_Springs_Greater_Palm_Springs_California.html,http://eight4nine.com/
195,La Quinta Cliffhouse Grill and Bar,78250 Highway 111,"La Quinta, Greater Palm Springs, CA 92253-2074","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,"1,256 reviews",+1 760-360-5991,https://www.tripadvisor.com//Restaurant_Review-g32584-d1992521-Reviews-La_Quinta_Cliffhouse_Grill_and_Bar-La_Quinta_Greater_Palm_Springs_California.html,Check The Website for a Menu
196,Elmer's Restaurant - Palm Springs,1030 E Palm Canyon Dr,"Palm Springs, Greater Palm Springs, CA 92264-9169","$$ - $$$, American, Diner, Vegetarian Friendly",4.5 of 5 bubbles,"2,290 reviews",+1 760-327-8419,https://www.tripadvisor.com//Restaurant_Review-g32847-d473460-Reviews-Elmer_s_Restaurant_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html,https://eatatelmers.com/menu/
197,Bill's Pizza,119 S Indian Canyon Dr,"Palm Springs, Greater Palm Springs, CA 92262-6603","$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,"1,492 reviews",+1 760-325-5571,https://www.tripadvisor.com//Restaurant_Review-g32847-d1978555-Reviews-Bill_s_Pizza-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu
198,Grill-A-Burger,73091 Country Club Dr,"Palm Desert, Greater Palm Springs, CA 92260-2338","$$ - $$$, American, Grill, Bar",4.5 of 5 bubbles,865 reviews,+1 760-346-8170,https://www.tripadvisor.com//Restaurant_Review-g32846-d1955305-Reviews-Grill_A_Burger-Palm_Desert_Greater_Palm_Springs_California.html,Check The Website for a Menu
199,Farm,6 La Plz,"Palm Springs, Greater Palm Springs, CA 92262-6389","$$ - $$$, French, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,515 reviews,+1 760-322-2724,https://www.tripadvisor.com//Restaurant_Review-g32847-d3800363-Reviews-Farm-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu
200,Si Bon,40101 Monterey Ave,"Rancho Mirage, Greater Palm Springs, CA 92270-3261","$$ - $$$, American, Belgian, European",4.5 of 5 bubbles,600 reviews,+1 760-837-0011,https://www.tripadvisor.com//Restaurant_Review-g32942-d4288486-Reviews-Si_Bon-Rancho_Mirage_Greater_Palm_Springs_California.html,https://cdn.website.thryv.com/71605dcc48bc435a97c3c0c4ab2a736e/files/uploaded/Fathers%20Day%20Brunch%20Kids%20Menu%202019.pdf
201,Tyler's Burgers,149 S Indian Canyon Dr,"Palm Springs, Greater Palm Springs, CA 92262-6603","$$ - $$$, American, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,780 reviews,+1 760-325-2990,https://www.tripadvisor.com//Restaurant_Review-g32847-d469210-Reviews-Tyler_s_Burgers-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu
202,La Perlita Mexican Food,901 Crossley Rd,"Palm Springs, Greater Palm Springs, CA 92264-3713","$$ - $$$, Mexican, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,426 reviews,+1 760-778-8014,https://www.tripadvisor.com//Restaurant_Review-g32847-d2169861-Reviews-La_Perlita_Mexican_Food-Palm_Springs_Greater_Palm_Springs_California.html,https://la-perlita-mexican-food.business.site/?m=true
203,Spencer's Restaurant,701 W Baristo Rd,"Palm Springs, Greater Palm Springs, CA 92262-6325","$$$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,"2,126 reviews",+1 760-327-3446,https://www.tripadvisor.com//Restaurant_Review-g32847-d602274-Reviews-Spencer_s_Restaurant-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu
204,Rick's Restaurant & Bakery,1973 N Palm Canyon Dr,"Palm Springs, Greater Palm Springs, CA 92262-2919","$$ - $$$, American, Diner, Vegetarian Friendly",4.5 of 5 bubbles,524 reviews,+1 760-416-0090,https://www.tripadvisor.com//Restaurant_Review-g32847-d473449-Reviews-Rick_s_Restaurant_Bakery-Palm_Springs_Greater_Palm_Springs_California.html,https://ricksrestaurant.biz/full-menu/
205,Copleys On Palm Canyon,621 N Palm Canyon Dr,"Palm Springs, Greater Palm Springs, CA 92262-5512","$$$$, American, Contemporary, Vegetarian Friendly",4.5 of 5 bubbles,948 reviews,+1 760-327-9555,https://www.tripadvisor.com//Restaurant_Review-g32847-d613940-Reviews-Copleys_On_Palm_Canyon-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu
206,Piero's PizzaVino,73722 El Paseo,"Palm Desert, Greater Palm Springs, CA 92260-4300","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,636 reviews,+1 760-568-2525,https://www.tripadvisor.com//Restaurant_Review-g32846-d2456232-Reviews-Piero_s_PizzaVino-Palm_Desert_Greater_Palm_Springs_California.html,https://www.ppizzavino.com/menus
207,Ristorante Mamma Gina,73705 El Paseo,"Palm Desert, Greater Palm Springs, CA 92260-4328","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,"1,037 reviews",+1 760-568-9898,https://www.tripadvisor.com//Restaurant_Review-g32846-d473406-Reviews-Ristorante_Mamma_Gina-Palm_Desert_Greater_Palm_Springs_California.html,Check The Website for a Menu
208,Tropicale,330 E Amado Rd,"Palm Springs, Greater Palm Springs, CA 92262-6437","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,"1,330 reviews",+1 760-866-1952,https://www.tripadvisor.com//Restaurant_Review-g32847-d887095-Reviews-Tropicale-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu
209,Tommy Bahama's Restaurant & Bar,75-595 El Paseo,"Palm Desert, Greater Palm Springs, CA 92260","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,"1,214 reviews",+1 760-836-0188,https://www.tripadvisor.com//Restaurant_Review-g32846-d369975-Reviews-Tommy_Bahama_s_Restaurant_Bar-Palm_Desert_Greater_Palm_Springs_California.html,Check The Website for a Menu
210,AC3 Restaurant + Bar,45350 Larkspur Ln,"Palm Desert, Greater Palm Springs, CA 92260-4389","$$ - $$$, American, Bar, Contemporary",4.5 of 5 bubbles,205 reviews,+1 760-340-6069,https://www.tripadvisor.com//Restaurant_Review-g32846-d13390643-Reviews-AC3_Restaurant_Bar-Palm_Desert_Greater_Palm_Springs_California.html,Check The Website for a Menu
211,Wilma & Frieda's Cafe,73575 El Paseo Ste C2310,"Palm Desert, Greater Palm Springs, CA 92260-4385","$$ - $$$, American, Cafe, International",4.5 of 5 bubbles,732 reviews,+1 760-773-2807,https://www.tripadvisor.com//Restaurant_Review-g32846-d5263592-Reviews-Wilma_Frieda_s_Cafe-Palm_Desert_Greater_Palm_Springs_California.html,https://www.wilmafrieda.com/menu/pd/breakfast
212,Guillermo's Restaurante,72850 El Paseo,"Palm Desert, Greater Palm Springs, CA 92260-3302","$$ - $$$, Mexican, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,500 reviews,+1 760-341-0980,https://www.tripadvisor.com//Restaurant_Review-g32846-d828750-Reviews-Guillermo_s_Restaurante-Palm_Desert_Greater_Palm_Springs_California.html,Check The Website for a Menu
213,Pacifica Seafood Restaurant,73505 El Paseo,"Palm Desert, Greater Palm Springs, CA 92260-4343","$$$$, American, Seafood, Vegetarian Friendly",4.5 of 5 bubbles,"1,540 reviews",+1 760-674-8666,https://www.tripadvisor.com//Restaurant_Review-g32846-d369884-Reviews-Pacifica_Seafood_Restaurant-Palm_Desert_Greater_Palm_Springs_California.html,Check The Website for a Menu
214,Cork & Fork,47875 Caleo Bay Dr,"La Quinta, Greater Palm Springs, CA 92253-6386","$$ - $$$, American, Wine Bar, Asian",4.5 of 5 bubbles,285 reviews,760-777-7555,https://www.tripadvisor.com//Restaurant_Review-g32584-d3811718-Reviews-Cork_Fork-La_Quinta_Greater_Palm_Springs_California.html,Check The Website for a Menu
215,Palm Greens Cafe,611 S Palm Canyon Dr,"Palm Springs, Greater Palm Springs, CA 92264-7213","$$ - $$$, American, Cafe, Healthy",4.5 of 5 bubbles,332 reviews,+1 760-864-9900,https://www.tripadvisor.com//Restaurant_Review-g32847-d1380729-Reviews-Palm_Greens_Cafe-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu
216,John Henry's Cafe,1785 E Tahquitz Canyon Way,"Palm Springs, Greater Palm Springs, CA 92262-7101","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,411 reviews,+1 760-327-7667,https://www.tripadvisor.com//Restaurant_Review-g32847-d469205-Reviews-John_Henry_s_Cafe-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu
217,Pueblo Viejo Grill,81931 Ca-111,"Indio, Greater Palm Springs, CA 92201","$$ - $$$, Mexican, Southwestern, Spanish",4.5 of 5 bubbles,459 reviews,+1 760-342-5900,https://www.tripadvisor.com//Restaurant_Review-g32524-d851119-Reviews-Pueblo_Viejo_Grill-Indio_Greater_Palm_Springs_California.html,http://www.puebloviejogrill.com/menu/
218,Sam's Italian Deli and Market,2415 N 1st St,"Fresno, CA 93703-1202","$$ - $$$, Italian, Deli, Vegetarian Friendly",5 of 5 bubbles,434 reviews,+1 559-229-9346,https://www.tripadvisor.com//Restaurant_Review-g32414-d2395217-Reviews-Sam_s_Italian_Deli_and_Market-Fresno_California.html,https://cdn.shopify.com/s/files/1/0039/5103/4441/files/SamsSandwichmenu19.pdf?346
219,Mediterranean Grill & Cafe,1031 U St,"Fresno, CA 93721-1419","$$ - $$$, Lebanese, Mediterranean, Greek",5 of 5 bubbles,216 reviews,+1 559-441-7050,https://www.tripadvisor.com//Restaurant_Review-g32414-d1236081-Reviews-Mediterranean_Grill_Cafe-Fresno_California.html,Check The Website for a Menu
220,Dog House Grill,2789 E Shaw Ave,"Fresno, CA 93710-8205","$$ - $$$, American, Bar, Barbecue",4.5 of 5 bubbles,721 reviews,+1 559-294-9920,https://www.tripadvisor.com//Restaurant_Review-g32414-d798080-Reviews-Dog_House_Grill-Fresno_California.html,Check The Website for a Menu
221,Fresno Fleming's Prime Steakhouse & Wine Bar,639 E Shaw Ave,"Fresno, CA 93710-7729","$$$$, American, Gluten Free Options",4.5 of 5 bubbles,257 reviews,+1 559-222-5823,https://www.tripadvisor.com//Restaurant_Review-g32414-d638131-Reviews-Fresno_Fleming_s_Prime_Steakhouse_Wine_Bar-Fresno_California.html,Check The Website for a Menu
222,Pismo's Coastal Grill,7937 N Blackstone Ave,"Fresno, CA 93720-4310","$$ - $$$, American, Bar, Seafood",4.5 of 5 bubbles,840 reviews,+1 559-439-9463,https://www.tripadvisor.com//Restaurant_Review-g32414-d1597737-Reviews-Pismo_s_Coastal_Grill-Fresno_California.html,Check The Website for a Menu
223,The Annex Kitchen,2257 W Shaw Ave,"Fresno, CA 93711-3408","$$ - $$$, Italian, American, Pizza",4.5 of 5 bubbles,106 reviews,+1 559-248-8512,https://www.tripadvisor.com//Restaurant_Review-g32414-d8439031-Reviews-The_Annex_Kitchen-Fresno_California.html,http://annexkitchenfresno.com/#menu
224,House of JuJu,565 Pollasky Ave,"Clovis, CA 93612-1198","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,292 reviews,+1 559-298-3090,https://www.tripadvisor.com//Restaurant_Review-g32225-d6924885-Reviews-House_of_JuJu-Clovis_California.html,http://houseofjuju.com/#menu
225,Westwoods BBQ and Spice Co.,8042 N Blackstone Ave,"Fresno, CA 93720-1544","$$ - $$$, American, Barbecue, Bar",4 of 5 bubbles,483 reviews,+1 559-449-9227,https://www.tripadvisor.com//Restaurant_Review-g32414-d5946700-Reviews-Westwoods_BBQ_and_Spice_Co-Fresno_California.html,http://westwoodsbbq.com/menus/
226,Yosemite Ranch,1520 E Champlain Dr,"Fresno, CA 93720-5624","$$ - $$$, American, Steakhouse, Bar",4.5 of 5 bubbles,324 reviews,+1 559-847-0721,https://www.tripadvisor.com//Restaurant_Review-g32414-d1072192-Reviews-Yosemite_Ranch-Fresno_California.html,Check The Website for a Menu
227,The Cheesecake Factory,639 E Shaw Ave,"Fresno, CA 93710-7729","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,364 reviews,+1 559-228-1400,https://www.tripadvisor.com//Restaurant_Review-g32414-d813700-Reviews-The_Cheesecake_Factory-Fresno_California.html,https://order.thecheesecakefactory.com/menu/fresno-ca
228,Luna Pizzeria & Italian Restaurant,349 Pollasky Ave,"Clovis, CA 93612","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,264 reviews,+1 559-299-4141,https://www.tripadvisor.com//Restaurant_Review-g32225-d515896-Reviews-Luna_Pizzeria_Italian_Restaurant-Clovis_California.html,Check The Website for a Menu
229,Parma,6729 N Palm Ave,"Fresno, CA 93704-1075","$$$$, Italian, Vegetarian Friendly",4.5 of 5 bubbles,145 reviews,+1 559-432-3389,https://www.tripadvisor.com//Restaurant_Review-g32414-d511485-Reviews-Parma-Fresno_California.html,Check The Website for a Menu
230,Max's Bistro & Bar,1784 W Bullard Ave,"Fresno, CA 93711-2328","$$ - $$$, Steakhouse, American, Vegetarian Friendly",4.5 of 5 bubbles,188 reviews,+1 559-439-6900,https://www.tripadvisor.com//Restaurant_Review-g32414-d1465516-Reviews-Max_s_Bistro_Bar-Fresno_California.html,Check The Website for a Menu
231,Elbow Room,731 W San Jose Ave,"Fresno, CA 93704-2327","$$ - $$$, American, Bar, Grill",4 of 5 bubbles,202 reviews,+1 559-227-1234,https://www.tripadvisor.com//Restaurant_Review-g32414-d775343-Reviews-Elbow_Room-Fresno_California.html,Check The Website for a Menu
