,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
105,Red Ash,303 Colorado St,"Austin, TX 78701-4653","$$$$, Italian, Tuscan, Central-Italian",4.5 of 5 bubbles,236 reviews,We again wanted to try something different in Austin and the menu at the Red Ash looked interesting.  We had an early reservation so waited just a few minutes and had a very nice glass of wine.  Went up stairs where it was a little...More,+1 512-379-2906,https://www.tripadvisor.com//Restaurant_Review-g30196-d11645648-Reviews-Red_Ash-Austin_Texas.html,Check The Website for a Menu
106,Lonesome Dove Western Bistro,419 Colorado St,"Austin, TX 78701-2918","$$$$, American, Southwestern, Gluten Free Options",4.5 of 5 bubbles,236 reviews,"If you read my bio, you'll see I am finally realizing my dream of being a ""food critic"" in Austin, Texas. I will be posting my honest and uninfluenced opinions on everything from the front door to paying the check (no handheld credit card machines,...More",+1 512-271-2474,https://www.tripadvisor.com//Restaurant_Review-g30196-d8380467-Reviews-Lonesome_Dove_Western_Bistro-Austin_Texas.html,Check The Website for a Menu
107,Home Slice Pizza,1415 S Congress Ave,"Austin, TX 78704-2434","$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,"1,843 reviews",Took a break from BBQ and tacos at Homeslice.  We were really pleasantly surprised at the quality of the pizza!  Wonderful all around experience,+1 512-444-7437,https://www.tripadvisor.com//Restaurant_Review-g30196-d781751-Reviews-Home_Slice_Pizza-Austin_Texas.html,Check The Website for a Menu
108,True Food Kitchen,222 West Avenue,"Austin, TX 78701","$$ - $$$, Indian, Mediterranean, Healthy",4.5 of 5 bubbles,234 reviews,"True Food Kitchen was just a delight to visit. We were looking for some creative food with good quality and they delivered. The service was great from the first minute until we left. Out food arrived quickly, we were very happy with the amount of...More",+1 512-777-2430,https://www.tripadvisor.com//Restaurant_Review-g30196-d10209101-Reviews-True_Food_Kitchen-Austin_Texas.html,Check The Website for a Menu
109,Fonda San Miguel,2330 W North Loop Blvd,"Austin, TX 78756-2360","$$ - $$$, Mexican, Latin, Vegetarian Friendly",4.5 of 5 bubbles,732 reviews,"Fonda San Miguel certainly has the wow factor when a person steps inside the exquisitely designed restaurant. Would highly recommend having a reservation especially on the weekend. We ordered their speciality margaritas:  Numero Uno, Silver Coin (watermelon infused), and Cucurrucucu and all were unique and...More",+1 512-459-4121,https://www.tripadvisor.com//Restaurant_Review-g30196-d469570-Reviews-Fonda_San_Miguel-Austin_Texas.html,Check The Website for a Menu
110,Valentina's Tex Mex BBQ,11500 Manchaca Rd,"Austin, TX 78748-2712","$, Mexican, American, Southwestern",4.5 of 5 bubbles,218 reviews,"This place is on S. Austin on Manchaca. It is so good, better than Salt Lick. The line is long at times but not nearly as long at Franklins. It’s reasonably priced and they give you plenty to eat. My favorite bbq in town.",+1 512-221-4248,https://www.tripadvisor.com//Restaurant_Review-g30196-d9785528-Reviews-Valentina_s_Tex_Mex_BBQ-Austin_Texas.html,Check The Website for a Menu
111,III Forks Austin,111 Lavaca St,"Austin, TX 78701-3932","$$$$, American, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,326 reviews,Probably the best filets we’ve ever had. You must top it off with the King’s Crown! The lobster was cooked perfectly. Waiters are very attentive and helpful- top notch. The only reason for the rating of 4 is due to the unpleasant odor right as...More,+1 512-474-1776,https://www.tripadvisor.com//Restaurant_Review-g30196-d1063536-Reviews-III_Forks_Austin-Austin_Texas.html,Check The Website for a Menu
112,Moonshine Patio Bar & Grill,303 Red River St,"Austin, TX 78701-4130","$$ - $$$, American, Bar, Grill",4.5 of 5 bubbles,"2,987 reviews",Dinner on the heated patio was AMAZING! The menu selection offered something for every taste bud at our table.. serving sizes were perfect (OK the mac&cheese was large enough we needed a doggie bag) and very nicely prepared. Drinks were creative and very tasty as...More,+1 512-236-9599,https://www.tripadvisor.com//Restaurant_Review-g30196-d469589-Reviews-Moonshine_Patio_Bar_Grill-Austin_Texas.html,https://moonshinegrill.com/wp-content/uploads/2019/03/Moonshine-Menu-Fall-2018.pdf
113,Corner (Austin),110 E 2nd St,"Austin, TX 78701-4649","$$ - $$$, American, Southwestern, Bar",4.5 of 5 bubbles,608 reviews,"had both my dinners here.  The burger was really good and so where the fries.  The 2nd night, tried the pork tacos, Excellent!  Rusty nail was done really well.  The mgr staff were very accommodating and pleasant.  there dinner menu is much more limited than...More",+1 512-608-4488,https://www.tripadvisor.com//Restaurant_Review-g30196-d7658780-Reviews-Corner_Austin-Austin_Texas.html,Check The Website for a Menu
114,Champions Sports Bar,300 E 4th Street,"Austin, TX 78701-3612","$$ - $$$, Pub, American, Brew Pub",4 of 5 bubbles,384 reviews,"Very convenient location, delicious food, and great service by Erdem! We stayed at the Marriott and it was very convenient. Food was great for both breakfast and dinner!",+1 512-473-0450,https://www.tripadvisor.com//Restaurant_Review-g30196-d2213977-Reviews-Champions_Sports_Bar-Austin_Texas.html,Check The Website for a Menu
115,Uchiko,4200 N Lamar Blvd Ste 140,"Austin, TX 78756-3439","$$$$, Japanese, Seafood, Sushi",4.5 of 5 bubbles,724 reviews,I recently had dinner at Uchiko with a close family member who was visiting from out of town. We both had the Omokase. It was rather expensive but what was nice is that when we had really had enough (it is a huge amount of...More,+1 512-916-4808,https://www.tripadvisor.com//Restaurant_Review-g30196-d1932020-Reviews-Uchiko-Austin_Texas.html,Check The Website for a Menu
116,Pinthouse Pizza,4729 Burnet Rd,"Austin, TX 78756-2826","$$ - $$$, Pizza, Brew Pub, Bar",4.5 of 5 bubbles,211 reviews,Really good pizza. Quite a variety. Picnic table/bench type seating. The place was packed. Good customer service. TV's from all views. Would recommend!,+1 512-436-9605,https://www.tripadvisor.com//Restaurant_Review-g30196-d3678805-Reviews-Pinthouse_Pizza-Austin_Texas.html,Check The Website for a Menu
117,Odd Duck,1201 S Lamar Blvd,"Austin, TX 78704-2368","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,536 reviews,"The odd thing about Odd Duck is that duck is not on the menu. Besides that, the food is delicious.

Tuna ceviche is not your typical ceviche. It has a hint of sweetness and not sour at all. It is fun to eat and will...More",+1 512-433-6521,https://www.tripadvisor.com//Restaurant_Review-g30196-d6105656-Reviews-Odd_Duck-Austin_Texas.html,Check The Website for a Menu
118,Micklethwait Craft Meats,1309 Rosewood Ave,"Austin, TX 78702-2024","$$ - $$$, American, Southwestern, Barbecue",4.5 of 5 bubbles,233 reviews,"After getting in line for Franklin Barbecue at 9 am, waiting a while and then hearing that we might be in line for 5 hours but not get to eat because of where we were we decided that no barbecue could be worth that wait....More",+1 512-791-5961,https://www.tripadvisor.com//Restaurant_Review-g30196-d6474859-Reviews-Micklethwait_Craft_Meats-Austin_Texas.html,http://craftmeatsaustin.com/menu
119,The Capital Grille,117 W 4th St,"Austin, TX 78701-3914","$$$$, American, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,240 reviews,"Such a nice evening! Professional and kind service in a cozy atmosphere. Everything was delicious. We shared oysters, truffle fries and asparagus. We both had beautiful steaks. Would go monthly if I lived here.",+1 512-322-2005,https://www.tripadvisor.com//Restaurant_Review-g30196-d6621180-Reviews-The_Capital_Grille-Austin_Texas.html,Check The Website for a Menu
120,Launderette,2115 Holly St,"Austin, TX 78702-5524","$$ - $$$, American, International, Vegetarian Friendly",4.5 of 5 bubbles,267 reviews,"We just had lunch but the selections and preparation were very good. I had a fried egg BLT that was quite tasty, my companion had the Chicken sammy and liked ti very much, my wife has a side of grilled broccolini that was excellent, and...More",+1 512-382-1599,https://www.tripadvisor.com//Restaurant_Review-g30196-d7902516-Reviews-Launderette-Austin_Texas.html,http://launderetteaustin.com/menus
121,Truluck's Seafood,10225 Research Blvd Ste 4000,"Austin, TX 78759-5704","$$$$, American, Seafood, Gluten Free Options",4.5 of 5 bubbles,283 reviews,My daughter wanted to go here for her birthday. It had been a very long time since our last visit so we made the resevation. Honestly there's nothing not to like. The service was superb and the food amazing. My daughter and her fiance enjoyed...More,+1 512-794-8300,https://www.tripadvisor.com//Restaurant_Review-g30196-d1310638-Reviews-Truluck_s_Seafood-Austin_Texas.html,Check The Website for a Menu
122,Botticelli's,1321 S Congress Ave,"Austin, TX 78704-2432","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,246 reviews,Great place! Serious good Italian style cuisine. Jacob was service staff for us and was on point and made a very busy multitasking dinner service look effortless. Bread app is great. Lasagna was enjoyed by two of our group. The tagliatelle con bolognese was outstanding....More,+1 512-916-1315,https://www.tripadvisor.com//Restaurant_Review-g30196-d829043-Reviews-Botticelli_s-Austin_Texas.html,Check The Website for a Menu
123,Jack Allen's Kitchen,3600 N Capital of Texas Hwy,"Austin, TX 78746-3314","$$ - $$$, American, Southwestern, Bar",4.5 of 5 bubbles,184 reviews,Had a valentine dinner with my wife. She had the grilled ruby red trout and she said it was excellent. I had the crispy fried red fish and it was excellent. Our waiter was very personable and excellent service.,+1 512-351-9399,https://www.tripadvisor.com//Restaurant_Review-g30196-d7960315-Reviews-Jack_Allen_s_Kitchen-Austin_Texas.html,https://jackallenskitchen.com/menus
124,Wink Restaurant,1014 N Lamar Blvd Ste E,"Austin, TX 78703-4964","$$$$, American, Wine Bar, Vegetarian Friendly",4.5 of 5 bubbles,332 reviews,We had an all around great experience for my special sister's special birthday. The birthday girl was presented with delicious desserts and an autographed menu. A Lambrusco paired with chocolate dessert really tickled my taste buds Alfredo provided great service and I was able to...More,+1 512-482-8868,https://www.tripadvisor.com//Restaurant_Review-g30196-d437645-Reviews-Wink_Restaurant-Austin_Texas.html,Check The Website for a Menu
125,Perry's Steakhouse & Grille- Downtown Austin,114 W 7th St,"Austin, TX 78701-3000","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,754 reviews,"As the title indicates, go for pork chop Friday here. It is a phenomenal value and the pork chops are huge and mouthwatering. Service is friendly and quick, but expect Friday lunches to be very crowded and a pain to park (though that's just a...More",+1 512-474-6300,https://www.tripadvisor.com//Restaurant_Review-g30196-d1310601-Reviews-Perry_s_Steakhouse_Grille_Downtown_Austin-Austin_Texas.html,Check The Website for a Menu
126,Barley Swine,6555 Burnet Rd Ste 400,"Austin, TX 78757-2865","$$$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,287 reviews,"The food was great.  We sat at the chef's counter, and were able to watch the kitchen staff prepare the dishes--made for an interesting and memorable experience.",+1 512-394-8150,https://www.tripadvisor.com//Restaurant_Review-g30196-d10441668-Reviews-Barley_Swine-Austin_Texas.html,http://barleyswine.com/#menu
127,rise n°3,5135 Monahans Ave,"Fort Worth, TX 76109-1577","$$ - $$$, French, Vegetarian Friendly, Vegan Options",5 of 5 bubbles,231 reviews,"We enjoyed a low-key, relaxed evening.  Interesting interior helped set a laid-back mood.  A Champagne offering by the glass is something I appreciate and the Champagne flight was a nice surprise. The menu offers some interesting savory soufflé options.  My smoked salmon was delicious but...More",+1 817-737-7473,https://www.tripadvisor.com//Restaurant_Review-g55857-d12936782-Reviews-Rise_n_3-Fort_Worth_Texas.html,https://risesouffle.com/menu
128,The Capital Grille,800 Main St,"Fort Worth, TX 76102-6247","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,692 reviews,"Deciding to skip the throngs that go out for dinner on Valentine's day we decided to do lunch instead. During the day we din't expect anything more than avoiding crowds but we were once again pleasantly surprised,
We were lead to a quiet room in...More",+1 817-348-9200,https://www.tripadvisor.com//Restaurant_Review-g55857-d3297789-Reviews-The_Capital_Grille-Fort_Worth_Texas.html,Check The Website for a Menu
129,Bonnell's Restaurant,4259 Bryant Irvin Rd,"Fort Worth, TX 76109-4223","$$$$, American, Southwestern, Gluten Free Options",4.5 of 5 bubbles,312 reviews,"Attended a business dinner here and had a private room. Started with mini tacos and chips with dip displayed nicely. These were yummy, and a nice start to evening. Had a lemon caesar salad that was basic, and not very lemony, but fresh anyway. Then...More",+1 817-738-5489,https://www.tripadvisor.com//Restaurant_Review-g55857-d638219-Reviews-Bonnell_s_Restaurant-Fort_Worth_Texas.html,https://bonnellstexas.com/menu/
130,Enchilada's Ole,901 N Sylvania Ave,"Fort Worth, TX 76111-2461","$$ - $$$, Southwestern, Vegetarian Friendly",4.5 of 5 bubbles,365 reviews,Love the chicken and the brisket enchiladas. Will be there when the new location off Forest Park opens!,+1 817-984-1360,https://www.tripadvisor.com//Restaurant_Review-g55857-d4274456-Reviews-Enchilada_s_Ole-Fort_Worth_Texas.html,http://enchiladasole.com/menu
131,Del Frisco's Double Eagle Steakhouse,812 Main St,"Fort Worth, TX 76102-6247","$$$$, American, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,919 reviews,"Great service, delicious food, energetic atmosphere.  Loved it. Wanted to experience a good steakhouse when visiting our grandson and treat him to a great meal.  It was well worth it.",+1 817-877-3999,https://www.tripadvisor.com//Restaurant_Review-g55857-d460662-Reviews-Del_Frisco_s_Double_Eagle_Steakhouse-Fort_Worth_Texas.html,Check The Website for a Menu
132,Bob's Steak & Chop House,1300 Houston St,"Fort Worth, TX 76102-6556","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,318 reviews,"We were traveling to Fort Worth for the Stock show. Our last night there we were there we wanted a good steak so we picked Bob's Steak & Chop House. We had a Ribeye bone out, Crab cakes.....both were amazing. They came with carrots and...More",+1 817-350-4100,https://www.tripadvisor.com//Restaurant_Review-g55857-d1390685-Reviews-Bob_s_Steak_Chop_House-Fort_Worth_Texas.html,Check The Website for a Menu
133,Istanbul Grill &Bar,401 Throckmorton St,"Fort Worth, TX 76102-7410","$$ - $$$, Mediterranean, Turkish, Vegetarian Friendly",4.5 of 5 bubbles,114 reviews,"The hummus and hot mixed appetizer were delicious and the salmon kabob was very good, friendly service and excellent value.",+1 817-885-7326,https://www.tripadvisor.com//Restaurant_Review-g55857-d12335829-Reviews-Istanbul_Grill_Bar-Fort_Worth_Texas.html,http://www.istanbulgrillbar.com/menu
134,Lonesome Dove Western Bistro,2406 N Main St,"Fort Worth, TX 76164-8519","$$$$, American, Southwestern, Vegetarian Friendly",4.5 of 5 bubbles,513 reviews,What a fantastic experience. The bartender was very knowledgeable about the menu and a joy to talk with.  Our server Joe as knowledgeable and attentive. The food was Devine.  The appetizers were out of this world.  I had the elk for my main course and...More,+1 817-740-8810,https://www.tripadvisor.com//Restaurant_Review-g55857-d518186-Reviews-Lonesome_Dove_Western_Bistro-Fort_Worth_Texas.html,Check The Website for a Menu
135,Grace - Ft. Worth,777 Main St,"Fort Worth, TX 76102-5304","$$$$, American, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,371 reviews,The food was fabulous With service match. Super Texas Hospitality without being cloyingly attentive. The egg in the hole salad was outstanding. The dumplings were amazing. My steak was phenomenal. My daughter adored her scallops. Butter scotch dessert dish was wonderful. Expensive but money well...More,+1 817-877-3388,https://www.tripadvisor.com//Restaurant_Review-g55857-d1310580-Reviews-Grace_Ft_Worth-Fort_Worth_Texas.html,Check The Website for a Menu
136,Texas de Brazil,101 N Houston St,"Fort Worth, TX 76102-2007","$$$$, Steakhouse, Brazilian, Vegetarian Friendly",4.5 of 5 bubbles,794 reviews,"Nice salad bar and lots of variety in cuts of meat when you go for the full meal, but nothing to accompany it like vegetables.",+1 817-882-9500,https://www.tripadvisor.com//Restaurant_Review-g55857-d464822-Reviews-Texas_de_Brazil-Fort_Worth_Texas.html,Check The Website for a Menu
137,West Side Cafe,7950 Camp Bowie West Blvd,"Fort Worth, TX 76116-6311","$, American, Cafe, Diner",4.5 of 5 bubbles,165 reviews,"I've been here more times than I can count in the past two years.  The food is consistently excellent and the staff is just fantastic.  The girls run the place like a machine.   

More Pecan Pie please",+1 817-560-1996,https://www.tripadvisor.com//Restaurant_Review-g55857-d3309631-Reviews-West_Side_Cafe-Fort_Worth_Texas.html,Check The Website for a Menu
138,Lili's Bistro,1310 W Magnolia Ave,"Fort Worth, TX 76104-4340","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,351 reviews,Amazing & Romantic place! Went for Valentines Day & enjoyed every second! I had the flounder and it was spectacular. Will return soon!,+1 817-877-0700,https://www.tripadvisor.com//Restaurant_Review-g55857-d654047-Reviews-Lili_s_Bistro-Fort_Worth_Texas.html,Check The Website for a Menu
139,Eddie V's Prime Seafood,3100 W 7th St,"Fort Worth, TX 76107-2795","$$$$, American, Seafood, Gluten Free Options",4.5 of 5 bubbles,376 reviews,Great service from start to finish.  Everyone was very accommodating. Prices are inline with the quality of food and service you receive.,+1 817-336-8000,https://www.tripadvisor.com//Restaurant_Review-g55857-d5052532-Reviews-Eddie_V_s_Prime_Seafood-Fort_Worth_Texas.html,Check The Website for a Menu
140,Rodeo Goat,2636 Bledsoe,"Fort Worth, TX","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,694 reviews,The Rodeo Goat has a large patio.  The burgers are so good and there are several different ones. My favorite is the Telluride.  The drinks are tasty and the old fashion is the beat I’ve had,817-877-4628,https://www.tripadvisor.com//Restaurant_Review-g55857-d3658910-Reviews-Rodeo_Goat-Fort_Worth_Texas.html,Check The Website for a Menu
141,Reata Restaurant,310 Houston St,"Fort Worth, TX 76102-7404","$$$$, American, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,"1,633 reviews","My wife and I celebrated our 30th wedding anniversary with our family this is the 3rd time here and each time we are amazed at how good the service and the food are, especially the steak asada with the enchilladas.",+1 817-336-1009,https://www.tripadvisor.com//Restaurant_Review-g55857-d464826-Reviews-Reata_Restaurant-Fort_Worth_Texas.html,Check The Website for a Menu
142,H3 Ranch,109 E Exchange Ave,"Fort Worth, TX 76164-8211","$$ - $$$, American, Steakhouse, Southwestern",4.5 of 5 bubbles,"1,490 reviews","My first time visiting this restaurant. Oh my!! It was phenomenal from walking in the doors to walking out with a full stomach! Service, food, atmosphere, prices... I was not disappointed by any means.",+1 817-624-1246,https://www.tripadvisor.com//Restaurant_Review-g55857-d464820-Reviews-H3_Ranch-Fort_Worth_Texas.html,Check The Website for a Menu
143,White Elephant Saloon,106 E Exchange Ave,"Fort Worth, TX 76164-8210","$, American, Bar, Pub",4.5 of 5 bubbles,212 reviews,"I'm a NYC guy and this is just like on tv.  The place was filled with cowboys, cheap beer, and dancing.  The band was great and we had a fantastic time.",+1 817-624-8273,https://www.tripadvisor.com//Restaurant_Review-g55857-d5083347-Reviews-White_Elephant_Saloon-Fort_Worth_Texas.html,Check The Website for a Menu
144,Taco Diner,156 W 4th St,"Fort Worth, TX 76102-3903","$$ - $$$, Mexican, Southwestern, Latin",4.5 of 5 bubbles,228 reviews,"This place was not at all what we expected. It was way more! The atmosphere was great, the food was excellent. If we had been staying in Fort Worth for a longer period of time, we definitely would have come back to eat again and...More",+1 817-566-0357,https://www.tripadvisor.com//Restaurant_Review-g55857-d6404710-Reviews-Taco_Diner-Fort_Worth_Texas.html,https://tacodiner.com/menu/
145,Pappadeaux Seafood Kitchen,2708 West Fwy,"Fort Worth, TX 76102-7111","$$ - $$$, Cajun & Creole, Vegetarian Friendly, Gluten Free Options",4.5 of 5 bubbles,442 reviews,"Pappadeaux always has some of the best seafood in the area.  They rarely disappoint!
However, our last visit was marred by the service.  Our waiter had such an attitude that
it made our dining experience less than desirable.  First, he was upset because we would...More",+1 817-877-8843,https://www.tripadvisor.com//Restaurant_Review-g55857-d464973-Reviews-Pappadeaux_Seafood_Kitchen-Fort_Worth_Texas.html,Check The Website for a Menu
146,Cafe Modern,3200 Darnell St,"Fort Worth, TX 76107-2872","$$ - $$$, American, Cafe, Contemporary",4.5 of 5 bubbles,190 reviews,"While the food was above average, the service was the worst I’ve seen in years. David Got drink order wrong, twice.  No spoons with the soup.  Slow to take orders.  First drinks arrived after first course.  Second drink order arrived after dessert even though ordered...More",+1 817-840-2157,https://www.tripadvisor.com//Restaurant_Review-g55857-d1806618-Reviews-Cafe_Modern-Fort_Worth_Texas.html,Check The Website for a Menu
147,The Beacon Cafe,171 Aviator Drive,"Fort Worth, TX 76179","$$ - $$$, American, Cafe, Vegetarian Friendly",4.5 of 5 bubbles,99 reviews,"Best kept secret in Fort Worth. Located at Hicks Airport alongside the runway. Private planes pull into the parking lot beside your car. All there for an amazing brunch. A little pricey but definitely an experience. Whatever you do, treat yourself to a pineapple upside...More",+1 817-439-1041,https://www.tripadvisor.com//Restaurant_Review-g55857-d3513157-Reviews-The_Beacon_Cafe-Fort_Worth_Texas.html,Check The Website for a Menu
148,Blue Sushi Sake Grill,3131 W 7th St,"Fort Worth, TX 76107-2779","$$ - $$$, Sushi, Japanese, Asian",4.5 of 5 bubbles,200 reviews,"Visited in Dec after touring a museum, good stop for post-museum relaxation.  Although the parking in the area is not easy to find (and there is a towing area to be careful of).  The complaint here is that the service is slow.  We were there...More",+1 817-332-2583,https://www.tripadvisor.com//Restaurant_Review-g55857-d2174959-Reviews-Blue_Sushi_Sake_Grill-Fort_Worth_Texas.html,Check The Website for a Menu
149,Oliva Italian Eatery,12477 Timberland Blvd,"Fort Worth, TX 76244-5217","$$ - $$$, Italian, Healthy, Vegetarian Friendly",4.5 of 5 bubbles,198 reviews,"The most delicious food again!   Always our go to place for awesome Italian food and a nice bottle of wine.   Love it when the are some specials on the menu, always a delight!",+1 817-337-6999,https://www.tripadvisor.com//Restaurant_Review-g55857-d1915733-Reviews-Oliva_Italian_Eatery-Fort_Worth_Texas.html,Check The Website for a Menu
150,Railhead Smokehouse,2900 Montgomery St,"Fort Worth, TX 76107-5613","$$ - $$$, American, Barbecue",4 of 5 bubbles,364 reviews,The smell of wood smoke is the only thing that's good. I have never in my life spit out food but this coleslaw was the worst I've ever had in my life. I literally spit it out.,+1 817-738-9808,https://www.tripadvisor.com//Restaurant_Review-g55857-d464845-Reviews-Railhead_Smokehouse-Fort_Worth_Texas.html,Check The Website for a Menu
151,Kincaid's Hamburgers,4901 Camp Bowie Blvd,"Fort Worth, TX 76107-4152","$, American",4.5 of 5 bubbles,252 reviews,"Reminds me of the old, hole in the wall places my dad would take us as kids.  They always had the best burgers.  Kincaid's is like that.  It's been there forever.  Great for families, people on work break for lunch, grabbing a quick bite, etc....More",+1 817-732-2881,https://www.tripadvisor.com//Restaurant_Review-g55857-d824985-Reviews-Kincaid_s_Hamburgers-Fort_Worth_Texas.html,Check The Website for a Menu
152,Riscky's Steakhouse,120 E Exchange Ave,"Fort Worth, TX 76164-8210","$$ - $$$, American, Steakhouse, Gluten Free Options",4 of 5 bubbles,671 reviews,"In town for business meetings.   Ate here the night before after flying in.  Fort Worth stockyards great setting.  Food was great, large portions.  New york strip, pork chops and chicken fried steak all very well prepared.  Great decor, great service.  Engaging but not intrusive.  I...More",+1 817-624-4800,https://www.tripadvisor.com//Restaurant_Review-g55857-d532523-Reviews-Riscky_s_Steakhouse-Fort_Worth_Texas.html,Check The Website for a Menu
153,Flying Saucer,111 E 3rd St,"Fort Worth, TX 76102-4003","$$ - $$$, American, Bar, Pub",4 of 5 bubbles,438 reviews,Started a late season football Saturday here. Bar staff was more than helpful with explanations and recommendations to work our way through a lengthy list of beers; the food choices for lunch were diverse and allowed two picky eaters to find something they were plenty...More,+1 817-336-7470,https://www.tripadvisor.com//Restaurant_Review-g55857-d464955-Reviews-Flying_Saucer-Fort_Worth_Texas.html,https://www.beerknurd.com/locations/fort-worth-flying-saucer#food
154,Los Molcajetes Mexican Restaurant,4320 Western Center Blvd,"Fort Worth, TX 76137-2056","$$ - $$$, Mexican, Southwestern, Latin",4.5 of 5 bubbles,188 reviews,Loved this place! We had a quick lunch here. My hub and I shared a chicken chimichanga and added on a crispy chicken taco. Wow...it’s a lot of food. So so good!!! Both were FILLED with chicken! Chips n salsa to start were solid. Def...More,+1 817-306-9000,https://www.tripadvisor.com//Restaurant_Review-g55857-d511336-Reviews-Los_Molcajetes_Mexican_Restaurant-Fort_Worth_Texas.html,Check The Website for a Menu
155,Ruth's Chris Steak House,813 Main St,"Fort Worth, TX 76102","$$$$, American, Steakhouse, Gluten Free Options",4.5 of 5 bubbles,287 reviews,"Ruths Chris is our favorite restaurant that we search for when we travel. This location is in the heart of downtown Fort Worth, larger than expected yet service was superior. If you're a fan of this New Orleans legend, you'll appreciate the jazz background music...More",+1 817-348-0080,https://www.tripadvisor.com//Restaurant_Review-g55857-d1310571-Reviews-Ruth_s_Chris_Steak_House-Fort_Worth_Texas.html,Check The Website for a Menu
156,Del Frisco's Grille,154 East 3rd St,"Fort Worth, TX 76102","$$ - $$$, American, Bar, Asian",4 of 5 bubbles,376 reviews,"The restaurant was nice. Great location in Sundance Square! Festive for the holidays. The service was fast and we did not feel rushed to leave. The impossible burger was fabulous! If you’re vegan, ask for specifics on the add-on’s.",+1 817-887-9900,https://www.tripadvisor.com//Restaurant_Review-g55857-d5801378-Reviews-Del_Frisco_s_Grille-Fort_Worth_Texas.html,Check The Website for a Menu
157,Zino's Greek & Mediterranean Cuisine,7040 N Mesa St,"El Paso, TX 79912-3667","$$ - $$$, Middle Eastern, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,714 reviews,"The special for the day was Lemon Chicken along with traditional gyro meat with rice and a salad. It was the best Greek food I’ve had in a very long time. The staff at Zino’s is absolutely fantastic as well, very friendly. Overall it was...More",+1 915-584-8166,https://www.tripadvisor.com//Restaurant_Review-g60768-d2222810-Reviews-Zino_s_Greek_Mediterranean_Cuisine-El_Paso_Texas.html,Check The Website for a Menu
158,L & J Cafe,3622 E Missouri Ave,"El Paso, TX 79903-4421","$$ - $$$, Mexican, Southwestern, Latin",4.5 of 5 bubbles,"1,605 reviews",Great place for breakfast on a Sunday morning. Love the atmosphere. Wonderful food and service and history.,+1 915-566-8418,https://www.tripadvisor.com//Restaurant_Review-g60768-d405053-Reviews-L_J_Cafe-El_Paso_Texas.html,Check The Website for a Menu
159,Kiki's Restaurant & Bar,2719 N Piedras St,"El Paso, TX 79930-3507","$$ - $$$, Mexican, Southwestern, Latin",4.5 of 5 bubbles,386 reviews,I have eaten at Kiki's time and again and never get tired of their delicious plates. My favorite are the tacos but the mole is just as good. You gotta try their salsa with any dish.,+1 915-565-6713,https://www.tripadvisor.com//Restaurant_Review-g60768-d471342-Reviews-Kiki_s_Restaurant_Bar-El_Paso_Texas.html,Check The Website for a Menu
160,Tabla,115 S Durango St,"El Paso, TX 79901-1139","$$ - $$$, Bar, Spanish, Vegetarian Friendly",4.5 of 5 bubbles,202 reviews,Stopped in recently for a late birthday dinner since my actual birthday fell in the week so we decided to celebrate on the weekend of the superbowl and this past weekend. We had a taste for something Spanish or Tapas style because I didnt want...More,+1 915-533-8935,https://www.tripadvisor.com//Restaurant_Review-g60768-d2258389-Reviews-Tabla-El_Paso_Texas.html,Check The Website for a Menu
161,Rudy's,6401 S Desert Blvd,"El Paso, TX 79932-8515","$$ - $$$, American, Barbecue, Gluten Free Options",4.5 of 5 bubbles,373 reviews,"We went here because it was walking distance to the hotel. Everything is a la carte. We both had the ""dry"" meaning lean brisket. I had coleslaw, my husband had beans, and we were given a baggie of 4 slices of white bread. Cafeteria style...More",+1 915-587-8397,https://www.tripadvisor.com//Restaurant_Review-g60768-d1977055-Reviews-Rudy_s-El_Paso_Texas.html,Check The Website for a Menu
162,Carlos & Mickey's,1310 Magruder El Paso,"El Paso, TX 79925","$$ - $$$, Mexican, Southwestern, Latin",4 of 5 bubbles,970 reviews,We really enjoyed our dinner here on a Friday evening. Had to wait a bit but we’ll worth the wait. Atmosphere was great. Band playing was really motivating and over had us dancing at the end of the night. Would absolutely celebrate our friends here...More,+1 915-778-3323,https://www.tripadvisor.com//Restaurant_Review-g60768-d404953-Reviews-Carlos_Mickey_s-El_Paso_Texas.html,http://www.carlosandmickeys.com/menu.htm
